0.395000000,1.1
1.830000000,1.2
3.255656250,1.3
4.618000000,1.4
6.101156250,2.1
7.518343750,2.2
8.933843750,2.3
10.394187500,2.4
11.864187500,3.1
13.265718750,3.2
14.676375000,3.3
16.093843750,3.4
17.553781250,4.1
18.971781250,4.2
20.407187500,4.3
21.772218750,4.4
23.237312500,5.1
24.672843750,5.2
26.079562500,5.3
27.502875000,5.4
28.965500000,6.1
30.368343750,6.2
31.831343750,6.3
33.248656250,6.4
34.725000000,7.1
36.147968750,7.2
37.582781250,7.3
38.960406250,7.4
40.347687500,8.1
41.794562500,8.2
43.211468750,8.3
44.663750000,8.4
46.132375000,9.1
47.556812500,9.2
48.974218750,9.3
50.370812500,9.4
51.831625000,10.1
53.292218750,10.2
54.691125000,10.3
56.070593750,10.4
57.537218750,11.1
58.959593750,11.2
60.364125000,11.3
61.824406250,11.4
63.237812500,12.1
64.666375000,12.2
66.118968750,12.3
67.533000000,12.4
68.961375000,13.1
70.374187500,13.2
71.824156250,13.3
73.178968750,13.4
74.675000000,14.1
76.131281250,14.2
77.561968750,14.3
78.954218750,14.4
80.355125000,15.1
81.822906250,15.2
83.298750000,15.3
84.668625000,15.4
86.091093750,16.1
87.542593750,16.2
88.950468750,16.3
90.338718750,16.4
91.806000000,17.1
93.240218750,17.2
94.657750000,17.3
96.119906250,17.4
97.434968750,18.1
98.944500000,18.2
100.411281250,18.3
101.810000000,18.4
103.229000000,19.1
104.668875000,19.2
106.131625000,19.3
107.520781250,19.4
108.944718750,20.1
110.378312500,20.2
111.829125000,20.3
113.286593750,20.4
114.680968750,21.1
116.135093750,21.2
117.543750000,21.3
118.981281250,21.4
120.396062500,22.1
121.837843750,22.2
123.263906250,22.3
124.702718750,22.4
126.097218750,23.1
127.549156250,23.2
128.930312500,23.3
130.390218750,23.4
131.846625000,24.1
133.243156250,24.2
134.700156250,24.3
136.111781250,24.4
137.522250000,25.1
138.970093750,25.2
140.398156250,25.3
141.837062500,25.4
143.235000000,26.1
144.699750000,26.2
146.132968750,26.3
147.515531250,26.4
148.943281250,27.1
150.353500000,27.2
151.803000000,27.3
153.250687500,27.4
154.631625000,28.1
156.126437500,28.2
157.532625000,28.3
158.980000000,28.4
160.379718750,29.1
161.797218750,29.2
163.227812500,29.3
164.648968750,29.4
166.100593750,30.1
167.565625000,30.2
168.947843750,30.3
170.384000000,30.4
171.831437500,31.1
173.217468750,31.2
174.680937500,31.3
176.069312500,31.4
177.524937500,32.1
178.951031250,32.2
180.362281250,32.3
181.816000000,32.4
183.262281250,33.1
184.682812500,33.2
186.075875000,33.3
187.537687500,33.4
188.919312500,34.1
190.436531250,34.2
191.854031250,34.3
193.246562500,34.4
194.688906250,35.1
196.102031250,35.2
197.576218750,35.3
198.978437500,35.4
200.389156250,36.1
201.853968750,36.2
203.250656250,36.3
204.681843750,36.4
206.138437500,37.1
207.504500000,37.2
208.949656250,37.3
210.392437500,37.4
211.819375000,38.1
213.219343750,38.2
214.659093750,38.3
216.127718750,38.4
217.550718750,39.1
218.932281250,39.2
220.372343750,39.3
221.794750000,39.4
223.234343750,40.1
224.654750000,40.2
226.090187500,40.3
227.510343750,40.4
228.975062500,41.1
230.385468750,41.2
231.830375000,41.3
233.266062500,41.4
234.665375000,42.1
236.144062500,42.2
237.539875000,42.3
239.006656250,42.4
240.441343750,43.1
241.870718750,43.2
243.300062500,43.3
244.644843750,43.4
246.105125000,44.1
247.586906250,44.2
248.917843750,44.3
250.400093750,44.4
251.811687500,45.1
253.270875000,45.2
254.701781250,45.3
256.097625000,45.4
257.567937500,46.1
258.971187500,46.2
260.441562500,46.3
261.817343750,46.4
263.204500000,47.1
264.683906250,47.2
266.105687500,47.3
267.497906250,47.4
268.955093750,48.1
270.398750000,48.2
271.809687500,48.3
273.232250000,48.4
274.659718750,49.1
276.076312500,49.2
277.541437500,49.3
278.970000000,49.4
280.409468750,50.1
281.830843750,50.2
283.223437500,50.3
284.696906250,50.4
286.076218750,51.1
287.521312500,51.2
288.985718750,51.3
290.446531250,51.4
291.812406250,52.1
293.248187500,52.2
294.644718750,52.3
296.117031250,52.4
297.510750000,53.1
298.947687500,53.2
300.305031250,53.3
301.774968750,53.4
303.219593750,54.1
304.674437500,54.2
306.079406250,54.3
307.538125000,54.4
308.977875000,55.1
310.394281250,55.2
311.844312500,55.3
313.260000000,56.1
