0.417959184,1.1
1.928117914,1.2
3.416077098,1.3
4.896190476,1.4
6.368775510,2.1
7.888095238,2.2
9.392653061,2.3
10.881882086,2.4
12.399455782,3.1
13.854557823,3.2
15.383900227,3.3
16.878458050,3.4
18.408027211,4.1
19.840884354,4.2
21.399410431,4.3
22.843945578,5.2
24.392630385,4.4
25.871564626,5.1
27.354965986,5.3
28.917142857,5.4
30.379183673,6.1
31.851746032,6.2
33.371043084,6.3
34.830634921,6.4
36.362448980,7.1
37.954716553,7.2
39.341337868,7.3
40.800249433,7.4
42.318888889,8.1
43.854013605,8.2
45.387936508,8.3
46.876258503,8.4
48.334489796,9.1
49.889297052,9.2
51.413673469,9.3
52.877482993,9.4
54.369092971,10.1
55.885419501,10.2
57.359501134,10.3
58.862834467,10.4
60.422857143,11.1
61.870521542,11.2
63.389863946,11.3
64.918888889,11.4
66.352290249,12.1
67.880181406,12.2
69.360226757,12.3
70.879206349,12.4
72.352199546,13.1
73.871950113,13.2
75.446099773,13.3
76.981292517,13.4
78.439274376,14.1
79.858503401,14.2
81.386009070,14.3
82.866099773,14.4
84.369319728,15.1
85.845124717,15.2
87.402380952,15.3
88.850861678,15.4
90.378956916,16.1
91.873582766,16.2
93.331292517,16.3
94.866780045,16.4
96.369886621,17.1
97.860204082,17.2
99.449229025,17.3
100.851950113,17.4
102.356598639,18.1
103.798435374,18.2
105.348208617,18.3
106.954353741,18.4
108.325714286,19.1
109.860634921,19.2
111.364081633,19.3
112.859115646,19.4
114.357959184,20.1
115.815238095,20.2
117.365170068,20.3
118.909614512,20.4
120.413786848,21.1
121.847596372,21.2
123.375102041,21.3
124.894603175,21.4
126.358095238,22.1
127.887392290,22.2
129.351405896,22.3
130.879433107,22.4
132.359229025,23.1
133.933968254,23.2
135.367210884,23.3
136.880498866,23.4
138.361836735,24.1
139.850045351,24.2
141.377052154,24.3
142.871451247,24.4
144.348299320,25.1
145.889546485,25.2
147.353605442,25.3
148.881700680,25.4
150.400748299,26.1
151.889274376,26.2
153.414240363,26.3
154.870612245,26.4
156.416213152,27.1
157.949569161,27.2
159.391723356,27.3
160.972993197,27.4
162.360362812,28.1
163.832653061,28.2
165.409115646,28.3
166.826326531,28.4
