mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text
1	1	0	0	9/8	2	1	1/8		1/8	1	0		articStaccatoBelow		
1	1	1/8	1/8	9/8	2	1	1/8		1/8	1	1		articStaccatoBelow		
1	1	1/4	1/4	9/8	2	1	1/8		1/8	1	2		articStaccatoBelow		
1	1	3/8	3/8	9/8	2	1	1/8		1/8	1	3		articStaccatoBelow		
1	1	1/2	1/2	9/8	2	1	1/8		1/8	1	4		articStaccatoBelow		
1	1	5/8	5/8	9/8	2	1	1/8		1/8	1	5		articStaccatoBelow		
1	1	3/4	3/4	9/8	2	1	1/8		1/8	1	6		articStaccatoBelow		
1	1	7/8	7/8	9/8	2	1	1/8		1/8	1	7		articStaccatoBelow		
1	1	1	1	9/8	2	1	1/8		1/8	1	8		articStaccatoBelow		
1	1	0	0	9/8	3	1	0					pp			
1	1	0	0	9/8	3	1	0					pp			
1	1	0	0	9/8	3	1	1/8		1/8	1	9		articStaccatoBelow		
1	1	1/8	1/8	9/8	3	1	1/8		1/8	1	10		articStaccatoBelow		
1	1	1/4	1/4	9/8	3	1	1/8		1/8	1	11		articStaccatoBelow		
1	1	3/8	3/8	9/8	3	1	1/8		1/8	1	12		articStaccatoBelow		
1	1	1/2	1/2	9/8	3	1	1/8		1/8	1	13		articStaccatoBelow		
1	1	5/8	5/8	9/8	3	1	1/8		1/8	1	14		articStaccatoBelow		
1	1	3/4	3/4	9/8	3	1	1/8		1/8	1	15		articStaccatoBelow		
1	1	7/8	7/8	9/8	3	1	1/8		1/8	1	16		articStaccatoBelow		
1	1	1	1	9/8	3	1	1/8		1/8	1	17		articStaccatoBelow		
1	1	0	0	9/8	4	1	0					pp			
1	1	0	0	9/8	4	1	1/8		1/8	1	18		articStaccatoAbove		
1	1	1/8	1/8	9/8	4	1	1/8		1/8	1	19		articStaccatoAbove		
1	1	1/4	1/4	9/8	4	1	1/8		1/8	1	20		articStaccatoAbove		
1	1	3/8	3/8	9/8	4	1	1/8		1/8	1	21		articStaccatoAbove		
1	1	1/2	1/2	9/8	4	1	1/8		1/8	1	22		articStaccatoAbove		
1	1	5/8	5/8	9/8	4	1	1/8		1/8	1	23		articStaccatoAbove		
1	1	3/4	3/4	9/8	4	1	1/8		1/8	1	24		articStaccatoAbove		
1	1	7/8	7/8	9/8	4	1	1/8		1/8	1	25		articStaccatoAbove		
1	1	1	1	9/8	4	1	1/8		1/8	1	26		articStaccatoAbove		
2	2	0	0	9/8	1	1	0					pp			
2	2	0	0	9/8	1	1	3/4		1/2	3/2	27				
2	2	3/4	3/4	9/8	1	1	3/8		1/4	3/2	28				
2	2	0	0	9/8	2	1	1/8		1/8	1	29				
2	2	1/8	1/8	9/8	2	1	1/8		1/8	1	30				
2	2	1/4	1/4	9/8	2	1	1/8		1/8	1	31				
2	2	3/8	3/8	9/8	2	1	1/8		1/8	1	32				
2	2	1/2	1/2	9/8	2	1	1/8		1/8	1	33				
2	2	5/8	5/8	9/8	2	1	1/8		1/8	1	34				
2	2	3/4	3/4	9/8	2	1	1/8		1/8	1	35				
2	2	7/8	7/8	9/8	2	1	1/8		1/8	1	36				
2	2	1	1	9/8	2	1	1/8		1/8	1	37				
2	2	0	0	9/8	3	1	1/8		1/8	1	38				
2	2	1/8	1/8	9/8	3	1	1/8		1/8	1	39				
2	2	1/4	1/4	9/8	3	1	1/8		1/8	1	40				
2	2	3/8	3/8	9/8	3	1	1/8		1/8	1	41				
2	2	1/2	1/2	9/8	3	1	1/8		1/8	1	42				
2	2	5/8	5/8	9/8	3	1	1/8		1/8	1	43				
2	2	3/4	3/4	9/8	3	1	1/8		1/8	1	44				
2	2	7/8	7/8	9/8	3	1	1/8		1/8	1	45				
2	2	1	1	9/8	3	1	1/8		1/8	1	46				
2	2	0	0	9/8	4	1	1/8		1/8	1	47				
2	2	1/8	1/8	9/8	4	1	1/8		1/8	1	48				
2	2	1/4	1/4	9/8	4	1	1/8		1/8	1	49				
2	2	3/8	3/8	9/8	4	1	1/8		1/8	1	50				
2	2	1/2	1/2	9/8	4	1	1/8		1/8	1	51				
2	2	5/8	5/8	9/8	4	1	1/8		1/8	1	52				
2	2	3/4	3/4	9/8	4	1	1/8		1/8	1	53				
2	2	7/8	7/8	9/8	4	1	1/8		1/8	1	54				
2	2	1	1	9/8	4	1	1/8		1/8	1	55				
3	3	0	0	9/8	1	1	3/8		1/4	3/2	56				
3	3	3/8	3/8	9/8	1	1	3/8		1/4	3/2	57				
