mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm
51	51	0	0	2/4	2	1	0					p				
51	51	0	0	2/4	2	1	1/8		1/8	1	605					
51	51	1/4	1/4	2/4	2	1	1/8		1/8	1	606					
51	51	3/8	3/8	2/4	2	1	1/8		1/8	1	607					
51	51	0	0	2/4	3	1	0					p				
51	51	0	0	2/4	3	1	1/8		1/8	1	608					
51	51	3/8	3/8	2/4	3	1	1/8		1/8	1	609					
51	51	0	0	2/4	4	1	0					p				
51	51	0	0	2/4	4	1	1/8		1/8	1	610					
51	51	5/16	5/16	2/4	4	1	1/16		1/16	1	611		articStaccatoBelow			
51	51	3/8	3/8	2/4	4	1	1/16		1/16	1	612		articStaccatoBelow			
51	51	7/16	7/16	2/4	4	1	1/16		1/16	1	613		articStaccatoBelow			
52	52	0	0	2/4	1	1	1/8		1/8	1	614					
52	52	1/8	1/8	2/4	1	1	1/16		1/16	1	615					
52	52	7/32	7/32	2/4	1	1	1/32		1/32	1	616					
52	52	1/4	1/4	2/4	1	1	1/8		1/8	1	617					
52	52	3/8	3/8	2/4	1	1	1/8		1/8	1	618					
52	52	0	0	2/4	2	1	1/8		1/8	1	619					
52	52	1/8	1/8	2/4	2	1	1/16		1/16	1	620					
52	52	1/4	1/4	2/4	2	1	1/8		1/8	1	621					
52	52	3/8	3/8	2/4	2	1	1/8		1/8	1	622					
52	52	0	0	2/4	3	1	3/8		1/4	3/2	623					
52	52	3/8	3/8	2/4	3	1	1/8		1/8	1	624					
52	52	0	0	2/4	4	1	1/8		1/8	1	625					
52	52	1/8	1/8	2/4	4	1	1/8		1/8	1	626					
52	52	5/16	5/16	2/4	4	1	1/16		1/16	1	627		articStaccatoBelow			
52	52	3/8	3/8	2/4	4	1	1/16		1/16	1	628		articStaccatoBelow			
52	52	7/16	7/16	2/4	4	1	1/16		1/16	1	629		articStaccatoBelow			
53	53	0	0	2/4	1	1	1/8		1/8	1	630					
53	53	1/8	1/8	2/4	1	1	1/16		1/16	1	631					
53	53	7/32	7/32	2/4	1	1	1/32		1/32	1	632					
53	53	1/4	1/4	2/4	1	1	0									
53	53	1/4	1/4	2/4	1	1	1/8		1/8	1	633					
53	53	3/8	3/8	2/4	1	1	1/8		1/8	1	634					
53	53	0	0	2/4	2	1	1/8		1/8	1	635					
53	53	1/8	1/8	2/4	2	1	1/16		1/16	1	636					
53	53	1/4	1/4	2/4	2	1	0									
53	53	1/4	1/4	2/4	2	1	1/8		1/8	1	637					
53	53	3/8	3/8	2/4	2	1	1/8		1/8	1	638					
53	53	0	0	2/4	3	1	3/8		1/4	3/2	639					
53	53	3/8	3/8	2/4	3	1	0									
53	53	3/8	3/8	2/4	3	1	1/8		1/8	1	640					
53	53	0	0	2/4	4	1	1/8		1/8	1	641					
53	53	1/8	1/8	2/4	4	1	1/8		1/8	1	642					
53	53	5/16	5/16	2/4	4	1	0									
53	53	5/16	5/16	2/4	4	1	1/16		1/16	1	643		articStaccatoBelow			
53	53	3/8	3/8	2/4	4	1	1/16		1/16	1	644		articStaccatoBelow			
53	53	7/16	7/16	2/4	4	1	1/16		1/16	1	645		articStaccatoBelow			
54	54	0	0	2/4	1	1	1/8		1/8	1	646					
54	54	1/8	1/8	2/4	1	1	1/8		1/8	1	647					
54	54	1/4	1/4	2/4	1	1	0					sf				
54	54	1/4	1/4	2/4	1	1	1/4		1/4	1	648					
54	54	0	0	2/4	2	1	1/8		1/8	1	649					
54	54	1/8	1/8	2/4	2	1	1/8		1/8	1	650					
54	54	1/4	1/4	2/4	2	1	0					sf				
54	54	1/4	1/4	2/4	2	1	1/4		1/4	1	651					
54	54	0	0	2/4	3	1	1/4		1/4	1	652					
54	54	1/4	1/4	2/4	3	1	0					sf				
54	54	1/4	1/4	2/4	3	1	1/4		1/4	1	653					
54	54	0	0	2/4	4	1	1/8		1/8	1	654					
54	54	1/8	1/8	2/4	4	1	1/8		1/8	1	655					
54	54	1/4	1/4	2/4	4	1	0					sf				
54	54	1/4	1/4	2/4	4	1	1/4		1/4	1	656					
55	55	0	0	2/4	1	1	3/32		1/16	3/2	657					
55	55	3/32	3/32	2/4	1	1	1/32		1/32	1	658					
55	55	1/8	1/8	2/4	1	1	3/32		1/16	3/2	659					
55	55	7/32	7/32	2/4	1	1	1/32		1/32	1	660					
55	55	1/4	1/4	2/4	1	1	1/8		1/8	1	661					
55	55	3/8	3/8	2/4	1	1	0	grace8after	1/8	1	662					
55	55	3/8	3/8	2/4	1	1	0	grace8after	1/8	1	663					
55	55	3/8	3/8	2/4	1	1	1/8		1/8	1	664					
55	55	0	0	2/4	2	1	1/8		1/8	1	665					
55	55	1/8	1/8	2/4	2	1	3/32		1/16	3/2	666					
55	55	7/32	7/32	2/4	2	1	1/32		1/32	1	667					
55	55	1/4	1/4	2/4	2	1	1/8		1/8	1	668					
55	55	3/8	3/8	2/4	2	1	1/8		1/8	1	669					
55	55	0	0	2/4	3	1	1/8		1/8	1	670					
55	55	1/8	1/8	2/4	3	1	3/32		1/16	3/2	671					
55	55	7/32	7/32	2/4	3	1	1/32		1/32	1	672					
55	55	1/4	1/4	2/4	3	1	1/8		1/8	1	673					
55	55	3/8	3/8	2/4	3	1	1/8		1/8	1	674					
55	55	0	0	2/4	4	1	1/8		1/8	1	675					
55	55	1/8	1/8	2/4	4	1	3/32		1/16	3/2	676					
55	55	7/32	7/32	2/4	4	1	1/32		1/32	1	677					
55	55	1/4	1/4	2/4	4	1	1/8		1/8	1	678					
55	55	3/8	3/8	2/4	4	1	1/8		1/8	1	679					
56	56	0	0	2/4	1	1	1/8		1/8	1	680					
56	56	3/8	3/8	2/4	1	1	1/8		1/8	1	681					
56	56	0	0	2/4	2	1	1/8		1/8	1	682					
56	56	7/32	7/32	2/4	2	1	1/32		1/32	1	683					
56	56	1/4	1/4	2/4	2	1	1/8		1/8	1	684					
56	56	3/8	3/8	2/4	2	1	1/8		1/8	1	685					
56	56	0	0	2/4	3	1	1/8		1/8	1	686					
56	56	1/4	1/4	2/4	3	1	1/8		1/8	1	687					
56	56	3/8	3/8	2/4	3	1	1/8		1/8	1	688					
56	56	0	0	2/4	4	1	1/4		1/4	1	689					
56	56	5/16	5/16	2/4	4	1	1/16		1/16	1	690		articStaccatoBelow			
56	56	3/8	3/8	2/4	4	1	1/16		1/16	1	691		articStaccatoBelow			
56	56	7/16	7/16	2/4	4	1	1/16		1/16	1	692		articStaccatoBelow			
57	57	0	0	2/4	1	1	1/16		1/16	1	693					
57	57	1/16	1/16	2/4	1	1	1/16		1/16	1	694					
57	57	1/8	1/8	2/4	1	1	1/16		1/16	1	695					
57	57	3/16	3/16	2/4	1	1	1/16		1/16	1	696					
57	57	1/4	1/4	2/4	1	1	0									
57	57	1/4	1/4	2/4	1	1	1/8		1/8	1	697		articStaccatoAbove			
57	57	3/8	3/8	2/4	1	1	1/8		1/8	1	698					
57	57	0	0	2/4	2	1	1/8		1/8	1	699					
57	57	1/8	1/8	2/4	2	1	1/16		1/16	1	700					
57	57	7/32	7/32	2/4	2	1	1/32		1/32	1	701					
57	57	1/4	1/4	2/4	2	1	0									
57	57	1/4	1/4	2/4	2	1	1/8		1/8	1	702					
57	57	3/8	3/8	2/4	2	1	1/8		1/8	1	703					
57	57	0	0	2/4	3	1	1/8		1/8	1	704					
57	57	1/8	1/8	2/4	3	1	1/16		1/16	1	705					
57	57	1/4	1/4	2/4	3	1	0									
57	57	1/4	1/4	2/4	3	1	1/8		1/8	1	706					
57	57	3/8	3/8	2/4	3	1	1/8		1/8	1	707					
57	57	0	0	2/4	4	1	1/8		1/8	1	708					
57	57	1/8	1/8	2/4	4	1	1/8		1/8	1	709					
57	57	5/16	5/16	2/4	4	1	0									
57	57	5/16	5/16	2/4	4	1	1/16		1/16	1	710		articStaccatoBelow			
57	57	3/8	3/8	2/4	4	1	1/16		1/16	1	711		articStaccatoBelow			
57	57	7/16	7/16	2/4	4	1	1/16		1/16	1	712		articStaccatoBelow			
58	58	0	0	2/4	1	1	1/16		1/16	1	713					
58	58	1/16	1/16	2/4	1	1	1/16		1/16	1	714					
58	58	1/8	1/8	2/4	1	1	1/16		1/16	1	715					
58	58	3/16	3/16	2/4	1	1	1/16		1/16	1	716					
58	58	1/4	1/4	2/4	1	1	1/8		1/8	1	717					
58	58	3/8	3/8	2/4	1	1	1/8		1/8	1	718					
58	58	0	0	2/4	2	1	1/8		1/8	1	719					
58	58	1/8	1/8	2/4	2	1	1/16		1/16	1	720					
58	58	7/32	7/32	2/4	2	1	1/32		1/32	1	721					
58	58	1/4	1/4	2/4	2	1	1/8		1/8	1	722					
58	58	3/8	3/8	2/4	2	1	1/8		1/8	1	723					
58	58	0	0	2/4	3	1	1/8		1/8	1	724					
58	58	1/8	1/8	2/4	3	1	1/16		1/16	1	725					
58	58	1/4	1/4	2/4	3	1	1/8		1/8	1	726					
58	58	3/8	3/8	2/4	3	1	1/8		1/8	1	727					
58	58	0	0	2/4	4	1	1/8		1/8	1	728					
58	58	1/8	1/8	2/4	4	1	1/8		1/8	1	729					
58	58	5/16	5/16	2/4	4	1	1/16		1/16	1	730		articStaccatoBelow			
58	58	3/8	3/8	2/4	4	1	1/16		1/16	1	731		articStaccatoBelow			
58	58	7/16	7/16	2/4	4	1	1/16		1/16	1	732		articStaccatoBelow			
59	59	0	0	2/4	1	1	1/16		1/16	1	733					
59	59	1/16	1/16	2/4	1	1	1/16		1/16	1	734					
59	59	1/8	1/8	2/4	1	1	1/16		1/16	1	735					
59	59	3/16	3/16	2/4	1	1	1/16		1/16	1	736					
59	59	1/4	1/4	2/4	1	1	0					sf				
59	59	1/4	1/4	2/4	1	1	1/4		1/4	1	737					
59	59	0	0	2/4	2	1	1/8		1/8	1	738					
59	59	1/8	1/8	2/4	2	1	1/8		1/8	1	739					
59	59	1/4	1/4	2/4	2	1	0					sf				
59	59	1/4	1/4	2/4	2	1	1/4		1/4	1	740					
59	59	0	0	2/4	3	1	1/8		1/8	1	741					
59	59	1/8	1/8	2/4	3	1	1/16		1/16	1	742					
59	59	1/4	1/4	2/4	3	1	0					sf				
59	59	1/4	1/4	2/4	3	1	1/4		1/4	1	743					
59	59	0	0	2/4	4	1	1/8		1/8	1	744					
59	59	1/8	1/8	2/4	4	1	1/8		1/8	1	745					
59	59	1/4	1/4	2/4	4	1	0					sf				
59	59	1/4	1/4	2/4	4	1	1/4		1/4	1	746					
60	60	0	0	2/4	1	1	1/16		1/16	1	747					
60	60	1/16	1/16	2/4	1	1	1/16		1/16	1	748					
60	60	1/8	1/8	2/4	1	1	1/32		1/32	1	749					
60	60	5/32	5/32	2/4	1	1	1/32		1/32	1	750					
60	60	3/16	3/16	2/4	1	1	1/32		1/32	1	751					
60	60	7/32	7/32	2/4	1	1	1/32		1/32	1	752					
60	60	1/4	1/4	2/4	1	1	1/8		1/8	1	753					
60	60	3/8	3/8	2/4	1	1	0	grace8after	1/8	1	754					
60	60	3/8	3/8	2/4	1	1	0	grace16after	1/16	1	755					
60	60	3/8	3/8	2/4	1	1	1/8		1/8	1	756		ornamentTrill			
60	60	0	0	2/4	2	1	1/8		1/8	1	757					
60	60	3/16	3/16	2/4	2	1	1/16		1/16	1	758					
60	60	1/4	1/4	2/4	2	1	1/8		1/8	1	759					
60	60	3/8	3/8	2/4	2	1	1/8		1/8	1	760					
60	60	0	0	2/4	3	1	1/16		1/16	1	761					
60	60	1/16	1/16	2/4	3	1	1/16		1/16	1	762					
60	60	1/8	1/8	2/4	3	1	1/16		1/16	1	763					
60	60	3/16	3/16	2/4	3	1	1/16		1/16	1	764					
60	60	1/4	1/4	2/4	3	1	1/8		1/8	1	765					
60	60	3/8	3/8	2/4	3	1	1/8		1/8	1	766					
60	60	0	0	2/4	4	1	1/16		1/16	1	767					
60	60	1/16	1/16	2/4	4	1	1/16		1/16	1	768					
60	60	1/8	1/8	2/4	4	1	1/16		1/16	1	769					
60	60	3/16	3/16	2/4	4	1	1/16		1/16	1	770					
60	60	1/4	1/4	2/4	4	1	1/8		1/8	1	771					
60	60	3/8	3/8	2/4	4	1	1/8		1/8	1	772					
61	61	0	0	2/4	1	1	1/8		1/8	1	773					
61	61	0	0	2/4	2	1	0					p				
61	61	0	0	2/4	2	1	1/8		1/8	1	774					
61	61	1/4	1/4	2/4	2	1	1/24		1/16	2/3	775		articStaccatoBelow			
61	61	7/24	7/24	2/4	2	1	1/24		1/16	2/3	776		articStaccatoBelow			
61	61	1/3	1/3	2/4	2	1	1/24		1/16	2/3	777		articStaccatoBelow			
61	61	3/8	3/8	2/4	2	1	1/24		1/16	2/3	778		articStaccatoBelow			
61	61	5/12	5/12	2/4	2	1	1/24		1/16	2/3	779		articStaccatoBelow			
61	61	11/24	11/24	2/4	2	1	1/24		1/16	2/3	780		articStaccatoBelow			
61	61	0	0	2/4	3	1	1/16		1/16	1	781		articStaccatoBelow			
61	61	1/16	1/16	2/4	3	1	1/16		1/16	1	782					
61	61	1/8	1/8	2/4	3	1	1/16		1/16	1	783					
61	61	3/16	3/16	2/4	3	1	1/16		1/16	1	784					
61	61	5/16	5/16	2/4	3	1	1/16		1/16	1	785					
61	61	3/8	3/8	2/4	3	1	1/16		1/16	1	786					
61	61	7/16	7/16	2/4	3	1	1/16		1/16	1	787					
61	61	0	0	2/4	4	1	0					p				
61	61	0	0	2/4	4	1	0					p				
61	61	0	0	2/4	4	1	1/8		1/8	1	788					
61	61	1/4	1/4	2/4	4	1	1/8		1/8	1	789					
62	62	0	0	2/4	2	1	3/32		1/16	3/2	790					
62	62	3/32	3/32	2/4	2	1	1/32		1/32	1	791					
62	62	1/8	1/8	2/4	2	1	1/8		1/8	1	792		articStaccatoAbove			
62	62	1/4	1/4	2/4	2	1	3/32		1/16	3/2	793					
62	62	11/32	11/32	2/4	2	1	1/32		1/32	1	794					
62	62	3/8	3/8	2/4	2	1	1/8		1/8	1	795		articStaccatoAbove			
62	62	1/16	1/16	2/4	3	1	1/16		1/16	1	796					
62	62	1/8	1/8	2/4	3	1	1/16		1/16	1	797					
62	62	3/16	3/16	2/4	3	1	1/16		1/16	1	798					
62	62	5/16	5/16	2/4	3	1	1/16		1/16	1	799					
62	62	3/8	3/8	2/4	3	1	1/16		1/16	1	800					
62	62	7/16	7/16	2/4	3	1	1/16		1/16	1	801					
62	62	0	0	2/4	4	1	1/8		1/8	1	802					
62	62	1/4	1/4	2/4	4	1	1/8		1/8	1	803					
63	63	0	0	2/4	1	1	0					p				
63	63	1/4	1/4	2/4	1	1	1/24		1/16	2/3	804		articStaccatoAbove			
63	63	7/24	7/24	2/4	1	1	1/24		1/16	2/3	805		articStaccatoAbove			
63	63	1/3	1/3	2/4	1	1	1/24		1/16	2/3	806		articStaccatoAbove			
63	63	3/8	3/8	2/4	1	1	1/24		1/16	2/3	807		articStaccatoAbove			
63	63	5/12	5/12	2/4	1	1	1/24		1/16	2/3	808		articStaccatoAbove			
63	63	11/24	11/24	2/4	1	1	1/24		1/16	2/3	809		articStaccatoAbove			
63	63	0	0	2/4	2	1	3/32		1/16	3/2	810					
63	63	3/32	3/32	2/4	2	1	1/32		1/32	1	811					
63	63	1/8	1/8	2/4	2	1	1/8		1/8	1	812		articStaccatoAbove			
63	63	1/4	1/4	2/4	2	1	1/16		1/16	1	813		articStaccatoBelow			
63	63	5/16	5/16	2/4	2	1	1/16		1/16	1	814		articStaccatoBelow			
63	63	3/8	3/8	2/4	2	1	1/16		1/16	1	815		articStaccatoBelow			
63	63	7/16	7/16	2/4	2	1	1/16		1/16	1	816		articStaccatoBelow			
63	63	1/16	1/16	2/4	3	1	1/16		1/16	1	817					
63	63	1/8	1/8	2/4	3	1	1/16		1/16	1	818					
63	63	3/16	3/16	2/4	3	1	1/16		1/16	1	819					
63	63	1/4	1/4	2/4	3	1	1/16		1/16	1	820		articStaccatoBelow			
63	63	5/16	5/16	2/4	3	1	1/16		1/16	1	821		articStaccatoBelow			
63	63	3/8	3/8	2/4	3	1	1/16		1/16	1	822		articStaccatoBelow			
63	63	7/16	7/16	2/4	3	1	1/16		1/16	1	823		articStaccatoBelow			
63	63	0	0	2/4	4	1	1/8		1/8	1	824					
63	63	1/4	1/4	2/4	4	1	1/8		1/8	1	825					
64	64	0	0	2/4	1	1	1/16		1/16	1	826					
64	64	1/16	1/16	2/4	1	1	1/16		1/16	1	827					
64	64	1/8	1/8	2/4	1	1	1/16		1/16	1	828					
64	64	3/16	3/16	2/4	1	1	1/16		1/16	1	829					
64	64	1/4	1/4	2/4	1	1	1/16		1/16	1	830					
64	64	5/16	5/16	2/4	1	1	1/16		1/16	1	831					
64	64	3/8	3/8	2/4	1	1	1/16		1/16	1	832					
64	64	7/16	7/16	2/4	1	1	1/16		1/16	1	833					
64	64	0	0	2/4	2	1	1/16		1/16	1	834		articStaccatoBelow			
64	64	1/16	1/16	2/4	2	1	1/16		1/16	1	835		articStaccatoBelow			
64	64	1/8	1/8	2/4	2	1	1/16		1/16	1	836		articStaccatoBelow			
64	64	3/16	3/16	2/4	2	1	1/16		1/16	1	837		articStaccatoBelow			
64	64	1/4	1/4	2/4	2	1	1/16		1/16	1	838		articStaccatoBelow			
64	64	5/16	5/16	2/4	2	1	1/16		1/16	1	839		articStaccatoBelow			
64	64	3/8	3/8	2/4	2	1	1/16		1/16	1	840		articStaccatoBelow			
64	64	7/16	7/16	2/4	2	1	1/16		1/16	1	841		articStaccatoBelow			
64	64	0	0	2/4	3	1	1/16		1/16	1	842		articStaccatoBelow			
64	64	1/16	1/16	2/4	3	1	1/16		1/16	1	843		articStaccatoBelow			
64	64	1/8	1/8	2/4	3	1	1/16		1/16	1	844		articStaccatoBelow			
64	64	3/16	3/16	2/4	3	1	1/16		1/16	1	845		articStaccatoBelow			
64	64	1/4	1/4	2/4	3	1	1/16		1/16	1	846		articStaccatoBelow			
64	64	5/16	5/16	2/4	3	1	1/16		1/16	1	847		articStaccatoBelow			
64	64	3/8	3/8	2/4	3	1	1/16		1/16	1	848		articStaccatoBelow			
64	64	7/16	7/16	2/4	3	1	1/16		1/16	1	849		articStaccatoBelow			
64	64	0	0	2/4	4	1	1/8		1/8	1	850					
64	64	1/4	1/4	2/4	4	1	1/8		1/8	1	851					
65	65	0	0	2/4	1	1	1/16		1/16	1	852					
65	65	1/16	1/16	2/4	1	1	1/16		1/16	1	853					
65	65	1/8	1/8	2/4	1	1	1/16		1/16	1	854					
65	65	3/16	3/16	2/4	1	1	1/16		1/16	1	855					
65	65	0	0	2/4	2	1	1/16		1/16	1	856		articStaccatoBelow			
65	65	1/16	1/16	2/4	2	1	1/16		1/16	1	857		articStaccatoBelow			
65	65	1/8	1/8	2/4	2	1	1/16		1/16	1	858		articStaccatoBelow			
65	65	3/16	3/16	2/4	2	1	1/16		1/16	1	859		articStaccatoBelow			
65	65	1/4	1/4	2/4	2	1	1/24		1/16	2/3	860		articStaccatoBelow			
65	65	7/24	7/24	2/4	2	1	1/24		1/16	2/3	861		articStaccatoBelow			
65	65	1/3	1/3	2/4	2	1	1/24		1/16	2/3	862		articStaccatoBelow			
65	65	3/8	3/8	2/4	2	1	1/24		1/16	2/3	863		articStaccatoBelow			
65	65	5/12	5/12	2/4	2	1	1/24		1/16	2/3	864		articStaccatoBelow			
65	65	11/24	11/24	2/4	2	1	1/24		1/16	2/3	865		articStaccatoBelow			
65	65	0	0	2/4	3	1	1/16		1/16	1	866		articStaccatoBelow			
65	65	1/16	1/16	2/4	3	1	1/16		1/16	1	867		articStaccatoBelow			
65	65	1/8	1/8	2/4	3	1	1/16		1/16	1	868		articStaccatoBelow			
65	65	3/16	3/16	2/4	3	1	1/16		1/16	1	869		articStaccatoBelow			
65	65	5/16	5/16	2/4	3	1	1/16		1/16	1	870					
65	65	3/8	3/8	2/4	3	1	1/16		1/16	1	871					
65	65	7/16	7/16	2/4	3	1	1/16		1/16	1	872					
65	65	0	0	2/4	4	1	1/8		1/8	1	873					
65	65	1/4	1/4	2/4	4	1	1/8		1/8	1	874					
66	66	0	0	2/4	2	1	1/16		1/16	1	875		articStaccatoAbove			
66	66	1/16	1/16	2/4	2	1	1/16		1/16	1	876					
66	66	1/8	1/8	2/4	2	1	1/16		1/16	1	877					
66	66	3/16	3/16	2/4	2	1	1/16		1/16	1	878					
66	66	1/4	1/4	2/4	2	1	1/16		1/16	1	879		articStaccatoAbove			
66	66	5/16	5/16	2/4	2	1	1/16		1/16	1	880					
66	66	3/8	3/8	2/4	2	1	1/16		1/16	1	881					
66	66	7/16	7/16	2/4	2	1	1/16		1/16	1	882					
66	66	1/16	1/16	2/4	3	1	1/16		1/16	1	883					
66	66	1/8	1/8	2/4	3	1	1/16		1/16	1	884					
66	66	3/16	3/16	2/4	3	1	1/16		1/16	1	885					
66	66	5/16	5/16	2/4	3	1	1/16		1/16	1	886					
66	66	3/8	3/8	2/4	3	1	1/16		1/16	1	887					
66	66	7/16	7/16	2/4	3	1	1/16		1/16	1	888					
66	66	0	0	2/4	4	1	1/8		1/8	1	889					
66	66	1/4	1/4	2/4	4	1	1/8		1/8	1	890					
67	67	1/4	1/4	2/4	1	1	1/24		1/16	2/3	891		articStaccatoAbove			
67	67	7/24	7/24	2/4	1	1	1/24		1/16	2/3	892		articStaccatoAbove			
67	67	1/3	1/3	2/4	1	1	1/24		1/16	2/3	893		articStaccatoAbove			
67	67	3/8	3/8	2/4	1	1	1/24		1/16	2/3	894		articStaccatoAbove			
67	67	5/12	5/12	2/4	1	1	1/24		1/16	2/3	895		articStaccatoAbove			
67	67	11/24	11/24	2/4	1	1	1/24		1/16	2/3	896		articStaccatoAbove			
67	67	0	0	2/4	2	1	1/16		1/16	1	897		articStaccatoAbove			
67	67	1/16	1/16	2/4	2	1	1/16		1/16	1	898					
67	67	1/8	1/8	2/4	2	1	1/16		1/16	1	899					
67	67	3/16	3/16	2/4	2	1	1/16		1/16	1	900					
67	67	1/4	1/4	2/4	2	1	1/16		1/16	1	901		articStaccatoBelow			
67	67	5/16	5/16	2/4	2	1	1/16		1/16	1	902		articStaccatoBelow			
67	67	3/8	3/8	2/4	2	1	1/16		1/16	1	903		articStaccatoBelow			
67	67	7/16	7/16	2/4	2	1	1/16		1/16	1	904		articStaccatoBelow			
67	67	1/16	1/16	2/4	3	1	1/16		1/16	1	905					
67	67	1/8	1/8	2/4	3	1	1/16		1/16	1	906					
67	67	3/16	3/16	2/4	3	1	1/16		1/16	1	907					
67	67	1/4	1/4	2/4	3	1	1/16		1/16	1	908		articStaccatoBelow			
67	67	5/16	5/16	2/4	3	1	1/16		1/16	1	909		articStaccatoBelow			
67	67	3/8	3/8	2/4	3	1	1/16		1/16	1	910		articStaccatoBelow			
67	67	7/16	7/16	2/4	3	1	1/16		1/16	1	911		articStaccatoBelow			
67	67	0	0	2/4	4	1	1/4		1/4	1	912					
67	67	1/4	1/4	2/4	4	1	1/4		1/4	1	913					
68	68	0	0	2/4	1	1	1/24		1/16	2/3	914		articStaccatoAbove			
68	68	1/24	1/24	2/4	1	1	1/24		1/16	2/3	915		articStaccatoAbove			
68	68	1/12	1/12	2/4	1	1	1/24		1/16	2/3	916		articStaccatoAbove			
68	68	1/8	1/8	2/4	1	1	1/24		1/16	2/3	917		articStaccatoAbove			
68	68	1/6	1/6	2/4	1	1	1/24		1/16	2/3	918		articStaccatoAbove			
68	68	5/24	5/24	2/4	1	1	1/24		1/16	2/3	919		articStaccatoAbove			
68	68	1/4	1/4	2/4	1	1	1/24		1/16	2/3	920		articStaccatoAbove			
68	68	7/24	7/24	2/4	1	1	1/24		1/16	2/3	921		articStaccatoAbove			
68	68	1/3	1/3	2/4	1	1	1/24		1/16	2/3	922		articStaccatoAbove			
68	68	3/8	3/8	2/4	1	1	1/24		1/16	2/3	923		articStaccatoAbove			
68	68	5/12	5/12	2/4	1	1	1/24		1/16	2/3	924		articStaccatoAbove			
68	68	11/24	11/24	2/4	1	1	1/24		1/16	2/3	925		articStaccatoAbove			
68	68	0	0	2/4	2	1	1/8		1/8	1	926					
68	68	1/8	1/8	2/4	2	1	1/8		1/8	1	927					
68	68	1/4	1/4	2/4	2	1	1/8		1/8	1	928		articStaccatoAbove			
68	68	3/8	3/8	2/4	2	1	1/8		1/8	1	929		articStaccatoAbove			
68	68	0	0	2/4	3	1	1/8		1/8	1	930					
68	68	0	0	2/4	4	1	1/4		1/4	1	931					
69	69	0	0	2/4	1	1	1/24		1/16	2/3	932					
69	69	1/24	1/24	2/4	1	1	1/24		1/16	2/3	933					
69	69	1/12	1/12	2/4	1	1	1/24		1/16	2/3	934					
69	69	1/8	1/8	2/4	1	1	1/24		1/16	2/3	935					
69	69	1/6	1/6	2/4	1	1	1/24		1/16	2/3	936					
69	69	5/24	5/24	2/4	1	1	1/24		1/16	2/3	937					
69	69	1/4	1/4	2/4	1	1	1/24		1/16	2/3	938					
69	69	7/24	7/24	2/4	1	1	1/24		1/16	2/3	939					
69	69	1/3	1/3	2/4	1	1	1/24		1/16	2/3	940					
69	69	3/8	3/8	2/4	1	1	1/24		1/16	2/3	941					
69	69	5/12	5/12	2/4	1	1	1/24		1/16	2/3	942					
69	69	11/24	11/24	2/4	1	1	1/24		1/16	2/3	943					
69	69	0	0	2/4	2	1	1/8		1/8	1	944		articStaccatoAbove			
69	69	1/8	1/8	2/4	2	1	1/8		1/8	1	945		articStaccatoAbove			
69	69	1/4	1/4	2/4	2	1	1/8		1/8	1	946		articStaccatoAbove			
69	69	3/8	3/8	2/4	2	1	1/8		1/8	1	947		articStaccatoAbove			
70	70	0	0	2/4	1	1	1/24		1/16	2/3	948					
70	70	1/24	1/24	2/4	1	1	1/24		1/16	2/3	949					
70	70	1/12	1/12	2/4	1	1	1/24		1/16	2/3	950					
70	70	1/8	1/8	2/4	1	1	1/24		1/16	2/3	951					
70	70	1/6	1/6	2/4	1	1	1/24		1/16	2/3	952					
70	70	5/24	5/24	2/4	1	1	1/24		1/16	2/3	953					
70	70	1/4	1/4	2/4	1	1	1/24		1/16	2/3	954					
70	70	7/24	7/24	2/4	1	1	1/24		1/16	2/3	955					
70	70	1/3	1/3	2/4	1	1	1/24		1/16	2/3	956					
70	70	3/8	3/8	2/4	1	1	1/24		1/16	2/3	957					
70	70	5/12	5/12	2/4	1	1	1/24		1/16	2/3	958					
70	70	11/24	11/24	2/4	1	1	1/24		1/16	2/3	959					
70	70	0	0	2/4	2	1	1/8		1/8	1	960		articStaccatoBelow			
70	70	1/8	1/8	2/4	2	1	1/8		1/8	1	961		articStaccatoBelow			
70	70	1/4	1/4	2/4	2	1	1/8		1/8	1	962		articStaccatoBelow			
70	70	3/8	3/8	2/4	2	1	1/8		1/8	1	963		articStaccatoBelow			
70	70	1/8	1/8	2/4	3	1	1/8		1/8	1	964		articStaccatoBelow			
70	70	1/4	1/4	2/4	3	1	1/8		1/8	1	965		articStaccatoBelow			
70	70	3/8	3/8	2/4	3	1	1/8		1/8	1	966		articStaccatoBelow			
70	70	1/8	1/8	2/4	4	1	1/8		1/8	1	967		articStaccatoBelow			
70	70	1/4	1/4	2/4	4	1	1/8		1/8	1	968		articStaccatoBelow			
70	70	3/8	3/8	2/4	4	1	1/8		1/8	1	969		articStaccatoBelow			
71	71	0	0	2/4	1	1	0									
71	71	0	0	2/4	1	1	1/16		1/16	1	970					
71	71	1/16	1/16	2/4	1	1	1/16		1/16	1	971					
71	71	1/8	1/8	2/4	1	1	1/16		1/16	1	972					
71	71	3/16	3/16	2/4	1	1	1/16		1/16	1	973					
71	71	1/4	1/4	2/4	1	1	1/16		1/16	1	974					
71	71	5/16	5/16	2/4	1	1	1/16		1/16	1	975					
71	71	3/8	3/8	2/4	1	1	1/16		1/16	1	976					
