mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	Trill:trill
116	116	3/8	3/8	2/4	2	1	1/8		1/8	1	2182						
116	116	0	0	2/4	3	1	1/16		1/16	1	2183						
116	116	1/16	1/16	2/4	3	1	1/16		1/16	1	2184						
116	116	1/8	1/8	2/4	3	1	1/16		1/16	1	2185						
116	116	3/16	3/16	2/4	3	1	1/16		1/16	1	2186						
116	116	1/4	1/4	2/4	3	1	1/16		1/16	1	2187						
116	116	5/16	5/16	2/4	3	1	1/16		1/16	1	2188						
116	116	3/8	3/8	2/4	3	1	1/16		1/16	1	2189						
116	116	7/16	7/16	2/4	3	1	1/16		1/16	1	2190						
116	116	0	0	2/4	4	1	1/8		1/8	1	2191						
116	116	1/8	1/8	2/4	4	1	1/8		1/8	1	2192						
116	116	1/4	1/4	2/4	4	1	1/8		1/8	1	2193						
116	116	3/8	3/8	2/4	4	1	1/8		1/8	1	2194						
117	117	0	0	2/4	1	1	0							cresc.			
117	117	0	0	2/4	1	1	3/16		1/8	3/2	2195						
117	117	3/16	3/16	2/4	1	1	1/16		1/16	1	2196						
117	117	1/4	1/4	2/4	1	1	3/16		1/8	3/2	2197						
117	117	7/16	7/16	2/4	1	1	1/16		1/16	1	2198						
117	117	0	0	2/4	2	1	0							cresc.			
117	117	0	0	2/4	2	1	3/16		1/8	3/2	2199						
117	117	3/16	3/16	2/4	2	1	1/16		1/16	1	2200						
117	117	1/4	1/4	2/4	2	1	3/16		1/8	3/2	2201						
117	117	7/16	7/16	2/4	2	1	1/16		1/16	1	2202						
117	117	0	0	2/4	3	1	0							cresc.			
117	117	0	0	2/4	3	1	3/16		1/8	3/2	2203						
117	117	3/16	3/16	2/4	3	1	1/16		1/16	1	2204						
117	117	1/4	1/4	2/4	3	1	1/16		1/16	1	2205						
117	117	5/16	5/16	2/4	3	1	1/16		1/16	1	2206						
117	117	3/8	3/8	2/4	3	1	1/16		1/16	1	2207						
117	117	7/16	7/16	2/4	3	1	1/16		1/16	1	2208						
117	117	0	0	2/4	4	1	0							cresc.			
117	117	0	0	2/4	4	1	1/16		1/16	1	2209						
117	117	1/16	1/16	2/4	4	1	1/16		1/16	1	2210						
117	117	1/8	1/8	2/4	4	1	1/16		1/16	1	2211						
117	117	3/16	3/16	2/4	4	1	1/16		1/16	1	2212						
117	117	1/4	1/4	2/4	4	1	3/16		1/8	3/2	2213						
117	117	7/16	7/16	2/4	4	1	1/16		1/16	1	2214						
118	118	0	0	2/4	1	1	3/16		1/8	3/2	2215						
118	118	3/16	3/16	2/4	1	1	1/16		1/16	1	2216						
118	118	1/4	1/4	2/4	1	1	3/16		1/8	3/2	2217						
118	118	7/16	7/16	2/4	1	1	1/16		1/16	1	2218						
118	118	0	0	2/4	2	1	3/16		1/8	3/2	2219						
118	118	3/16	3/16	2/4	2	1	1/16		1/16	1	2220						
118	118	1/4	1/4	2/4	2	1	3/16		1/8	3/2	2221						
118	118	7/16	7/16	2/4	2	1	1/16		1/16	1	2222						
118	118	0	0	2/4	3	1	3/16		1/8	3/2	2223						
118	118	3/16	3/16	2/4	3	1	1/16		1/16	1	2224						
118	118	1/4	1/4	2/4	3	1	1/16		1/16	1	2225						
118	118	5/16	5/16	2/4	3	1	1/16		1/16	1	2226						
118	118	3/8	3/8	2/4	3	1	1/16		1/16	1	2227						
118	118	7/16	7/16	2/4	3	1	1/16		1/16	1	2228						
118	118	0	0	2/4	4	1	1/16		1/16	1	2229						
118	118	1/16	1/16	2/4	4	1	1/16		1/16	1	2230						
118	118	1/8	1/8	2/4	4	1	1/16		1/16	1	2231						
118	118	3/16	3/16	2/4	4	1	1/16		1/16	1	2232						
118	118	1/4	1/4	2/4	4	1	3/16		1/8	3/2	2233						
118	118	7/16	7/16	2/4	4	1	1/16		1/16	1	2234						
119	119	0	0	2/4	1	1	1/16		1/16	1	2235						
119	119	1/16	1/16	2/4	1	1	1/8		1/8	1	2236						
119	119	3/16	3/16	2/4	1	1	1/16		1/16	1	2237						
119	119	1/4	1/4	2/4	1	1	1/16		1/16	1	2238						
119	119	5/16	5/16	2/4	1	1	1/16		1/16	1	2239						
119	119	3/8	3/8	2/4	1	1	1/16		1/16	1	2240						
119	119	7/16	7/16	2/4	1	1	1/16		1/16	1	2241						
119	119	0	0	2/4	2	1	1/16		1/16	1	2242						
119	119	1/16	1/16	2/4	2	1	1/8		1/8	1	2243						
119	119	3/16	3/16	2/4	2	1	1/16		1/16	1	2244						
119	119	1/4	1/4	2/4	2	1	1/16		1/16	1	2245						
119	119	5/16	5/16	2/4	2	1	1/16		1/16	1	2246						
119	119	3/8	3/8	2/4	2	1	1/16		1/16	1	2247						
119	119	7/16	7/16	2/4	2	1	1/16		1/16	1	2248						
119	119	0	0	2/4	3	1	1/16		1/16	1	2249						
119	119	1/16	1/16	2/4	3	1	1/8		1/8	1	2250						
119	119	3/16	3/16	2/4	3	1	1/16		1/16	1	2251						
119	119	1/4	1/4	2/4	3	1	1/16		1/16	1	2252						
119	119	5/16	5/16	2/4	3	1	1/16		1/16	1	2253						
119	119	3/8	3/8	2/4	3	1	1/16		1/16	1	2254						
119	119	7/16	7/16	2/4	3	1	1/16		1/16	1	2255						
119	119	0	0	2/4	4	1	3/16		1/8	3/2	2256						
119	119	3/16	3/16	2/4	4	1	1/16		1/16	1	2257						
119	119	1/4	1/4	2/4	4	1	1/8		1/8	1	2258						
119	119	3/8	3/8	2/4	4	1	1/8		1/8	1	2259						
120	120	0	0	2/4	1	1	0					sf					
120	120	0	0	2/4	1	1	1/24		1/16	2/3	2260						
120	120	1/24	1/24	2/4	1	1	1/24		1/16	2/3	2261						
120	120	1/12	1/12	2/4	1	1	1/24		1/16	2/3	2262						
120	120	1/8	1/8	2/4	1	1	1/24		1/16	2/3	2263						
120	120	1/6	1/6	2/4	1	1	1/24		1/16	2/3	2264						
120	120	5/24	5/24	2/4	1	1	1/24		1/16	2/3	2265						
120	120	1/4	1/4	2/4	1	1	0					sf					
120	120	1/4	1/4	2/4	1	1	1/24		1/16	2/3	2266						
120	120	7/24	7/24	2/4	1	1	1/24		1/16	2/3	2267						
120	120	1/3	1/3	2/4	1	1	1/24		1/16	2/3	2268						
120	120	3/8	3/8	2/4	1	1	1/24		1/16	2/3	2269						
120	120	5/12	5/12	2/4	1	1	1/24		1/16	2/3	2270						
120	120	11/24	11/24	2/4	1	1	1/24		1/16	2/3	2271						
120	120	0	0	2/4	2	1	0					sf					
120	120	0	0	2/4	2	1	1/24		1/16	2/3	2272						
120	120	1/24	1/24	2/4	2	1	1/24		1/16	2/3	2273						
120	120	1/12	1/12	2/4	2	1	1/24		1/16	2/3	2274						
120	120	1/8	1/8	2/4	2	1	1/24		1/16	2/3	2275						
120	120	1/6	1/6	2/4	2	1	1/24		1/16	2/3	2276						
120	120	5/24	5/24	2/4	2	1	1/24		1/16	2/3	2277						
120	120	1/4	1/4	2/4	2	1	0					sf					
120	120	1/4	1/4	2/4	2	1	1/24		1/16	2/3	2278						
120	120	7/24	7/24	2/4	2	1	1/24		1/16	2/3	2279						
120	120	1/3	1/3	2/4	2	1	1/24		1/16	2/3	2280						
120	120	3/8	3/8	2/4	2	1	1/24		1/16	2/3	2281						
120	120	5/12	5/12	2/4	2	1	1/24		1/16	2/3	2282						
120	120	11/24	11/24	2/4	2	1	1/24		1/16	2/3	2283						
120	120	0	0	2/4	3	1	0					sf					
120	120	0	0	2/4	3	1	1/24		1/16	2/3	2284						
120	120	1/24	1/24	2/4	3	1	1/24		1/16	2/3	2285						
120	120	1/12	1/12	2/4	3	1	1/24		1/16	2/3	2286						
120	120	1/8	1/8	2/4	3	1	1/24		1/16	2/3	2287						
120	120	1/6	1/6	2/4	3	1	1/24		1/16	2/3	2288						
120	120	5/24	5/24	2/4	3	1	1/24		1/16	2/3	2289						
120	120	1/4	1/4	2/4	3	1	0					sf					
120	120	1/4	1/4	2/4	3	1	1/24		1/16	2/3	2290						
120	120	7/24	7/24	2/4	3	1	1/24		1/16	2/3	2291						
120	120	1/3	1/3	2/4	3	1	1/24		1/16	2/3	2292						
120	120	3/8	3/8	2/4	3	1	1/24		1/16	2/3	2293						
120	120	5/12	5/12	2/4	3	1	1/24		1/16	2/3	2294						
120	120	11/24	11/24	2/4	3	1	1/24		1/16	2/3	2295						
120	120	0	0	2/4	4	1	0					sf					
120	120	0	0	2/4	4	1	1/24		1/16	2/3	2296						
120	120	1/24	1/24	2/4	4	1	1/24		1/16	2/3	2297						
120	120	1/12	1/12	2/4	4	1	1/24		1/16	2/3	2298						
120	120	1/8	1/8	2/4	4	1	1/24		1/16	2/3	2299						
120	120	1/6	1/6	2/4	4	1	1/24		1/16	2/3	2300						
120	120	5/24	5/24	2/4	4	1	1/24		1/16	2/3	2301						
120	120	1/4	1/4	2/4	4	1	0					sf					
120	120	1/4	1/4	2/4	4	1	1/24		1/16	2/3	2302						
120	120	7/24	7/24	2/4	4	1	1/24		1/16	2/3	2303						
120	120	1/3	1/3	2/4	4	1	1/24		1/16	2/3	2304						
120	120	3/8	3/8	2/4	4	1	1/24		1/16	2/3	2305						
120	120	5/12	5/12	2/4	4	1	1/24		1/16	2/3	2306						
120	120	11/24	11/24	2/4	4	1	1/24		1/16	2/3	2307						
121	121	0	0	2/4	1	1	0					sf					
121	121	0	0	2/4	1	1	1/24		1/16	2/3	2308						
121	121	1/24	1/24	2/4	1	1	1/24		1/16	2/3	2309						
121	121	1/12	1/12	2/4	1	1	1/24		1/16	2/3	2310						
121	121	1/8	1/8	2/4	1	1	1/24		1/16	2/3	2311						
121	121	1/6	1/6	2/4	1	1	1/24		1/16	2/3	2312						
121	121	5/24	5/24	2/4	1	1	1/24		1/16	2/3	2313						
121	121	1/4	1/4	2/4	1	1	0					sf					
121	121	1/4	1/4	2/4	1	1	1/24		1/16	2/3	2314						
121	121	7/24	7/24	2/4	1	1	1/24		1/16	2/3	2315						
121	121	1/3	1/3	2/4	1	1	1/24		1/16	2/3	2316						
121	121	3/8	3/8	2/4	1	1	1/24		1/16	2/3	2317						
121	121	5/12	5/12	2/4	1	1	1/24		1/16	2/3	2318						
121	121	11/24	11/24	2/4	1	1	1/24		1/16	2/3	2319						
121	121	0	0	2/4	2	1	0					sf					
121	121	0	0	2/4	2	1	1/24		1/16	2/3	2320						
121	121	1/24	1/24	2/4	2	1	1/24		1/16	2/3	2321						
121	121	1/12	1/12	2/4	2	1	1/24		1/16	2/3	2322						
121	121	1/8	1/8	2/4	2	1	1/24		1/16	2/3	2323						
121	121	1/6	1/6	2/4	2	1	1/24		1/16	2/3	2324						
121	121	5/24	5/24	2/4	2	1	1/24		1/16	2/3	2325						
121	121	1/4	1/4	2/4	2	1	0					sf					
121	121	1/4	1/4	2/4	2	1	1/24		1/16	2/3	2326						
121	121	7/24	7/24	2/4	2	1	1/24		1/16	2/3	2327						
121	121	1/3	1/3	2/4	2	1	1/24		1/16	2/3	2328						
121	121	3/8	3/8	2/4	2	1	1/24		1/16	2/3	2329						
121	121	5/12	5/12	2/4	2	1	1/24		1/16	2/3	2330						
121	121	11/24	11/24	2/4	2	1	1/24		1/16	2/3	2331						
121	121	0	0	2/4	3	1	0					sf					
121	121	0	0	2/4	3	1	1/24		1/16	2/3	2332						
121	121	1/24	1/24	2/4	3	1	1/24		1/16	2/3	2333						
121	121	1/12	1/12	2/4	3	1	1/24		1/16	2/3	2334						
121	121	1/8	1/8	2/4	3	1	1/24		1/16	2/3	2335						
121	121	1/6	1/6	2/4	3	1	1/24		1/16	2/3	2336						
121	121	5/24	5/24	2/4	3	1	1/24		1/16	2/3	2337						
121	121	1/4	1/4	2/4	3	1	0					sf					
121	121	1/4	1/4	2/4	3	1	1/24		1/16	2/3	2338						
121	121	7/24	7/24	2/4	3	1	1/24		1/16	2/3	2339						
121	121	1/3	1/3	2/4	3	1	1/24		1/16	2/3	2340						
121	121	3/8	3/8	2/4	3	1	1/24		1/16	2/3	2341						
121	121	5/12	5/12	2/4	3	1	1/24		1/16	2/3	2342						
121	121	11/24	11/24	2/4	3	1	1/24		1/16	2/3	2343						
121	121	0	0	2/4	4	1	0					sf					
121	121	0	0	2/4	4	1	1/24		1/16	2/3	2344						
121	121	1/24	1/24	2/4	4	1	1/24		1/16	2/3	2345						
121	121	1/12	1/12	2/4	4	1	1/24		1/16	2/3	2346						
121	121	1/8	1/8	2/4	4	1	1/24		1/16	2/3	2347						
121	121	1/6	1/6	2/4	4	1	1/24		1/16	2/3	2348						
121	121	5/24	5/24	2/4	4	1	1/24		1/16	2/3	2349						
121	121	1/4	1/4	2/4	4	1	0					sf					
121	121	1/4	1/4	2/4	4	1	1/24		1/16	2/3	2350						
121	121	7/24	7/24	2/4	4	1	1/24		1/16	2/3	2351						
121	121	1/3	1/3	2/4	4	1	1/24		1/16	2/3	2352						
121	121	3/8	3/8	2/4	4	1	1/24		1/16	2/3	2353						
121	121	5/12	5/12	2/4	4	1	1/24		1/16	2/3	2354						
121	121	11/24	11/24	2/4	4	1	1/24		1/16	2/3	2355						
122	122	0	0	2/4	1	1	0					f					
122	122	0	0	2/4	1	1	1/24		1/16	2/3	2356						
122	122	1/24	1/24	2/4	1	1	1/24		1/16	2/3	2357						
122	122	1/12	1/12	2/4	1	1	1/24		1/16	2/3	2358						
122	122	1/8	1/8	2/4	1	1	1/24		1/16	2/3	2359						
122	122	1/6	1/6	2/4	1	1	1/24		1/16	2/3	2360						
122	122	5/24	5/24	2/4	1	1	1/24		1/16	2/3	2361						
122	122	1/4	1/4	2/4	1	1	1/24		1/16	2/3	2362						
122	122	7/24	7/24	2/4	1	1	1/24		1/16	2/3	2363						
122	122	1/3	1/3	2/4	1	1	1/24		1/16	2/3	2364						
122	122	3/8	3/8	2/4	1	1	1/24		1/16	2/3	2365						
122	122	5/12	5/12	2/4	1	1	1/24		1/16	2/3	2366						
122	122	11/24	11/24	2/4	1	1	1/24		1/16	2/3	2367						
122	122	0	0	2/4	2	1	0					f					
122	122	0	0	2/4	2	1	1/8		1/8	1	2368						
122	122	0	0	2/4	3	1	0					f					
122	122	0	0	2/4	3	1	1/8		1/8	1	2369						
122	122	0	0	2/4	4	1	0					f					
122	122	0	0	2/4	4	1	1/8		1/8	1	2370						
123	123	0	0	2/4	1	1	0							decresc.			
123	123	0	0	2/4	1	1	1/4		1/4	1	2371						
123	123	1/4	1/4	2/4	1	1	1/4		1/4	1	2372						
124	124	0	0	2/4	1	1	0					p					
124	124	0	0	2/4	1	1	1/8		1/8	1	2373						
124	124	1/8	1/8	2/4	1	1	1/8		1/8	1	2374						
124	124	1/4	1/4	2/4	1	1	1/8		1/8	1	2375						
124	124	3/8	3/8	2/4	1	1	1/8		1/8	1	2376						
124	124	0	0	2/4	2	1	0					p					
124	124	0	0	2/4	2	1	1/8		1/8	1	2377						
124	124	1/8	1/8	2/4	2	1	1/8		1/8	1	2378						
124	124	1/4	1/4	2/4	2	1	1/8		1/8	1	2379						
124	124	3/8	3/8	2/4	2	1	1/8		1/8	1	2380						
125	125	0	0	2/4	1	1	1/8		1/8	1	2381						
125	125	1/8	1/8	2/4	1	1	1/16		1/16	1	2382						
125	125	3/16	3/16	2/4	1	1	1/32		1/32	1	2383						
125	125	7/32	7/32	2/4	1	1	1/32		1/32	1	2384						
125	125	1/4	1/4	2/4	1	1	1/8		1/8	1	2385						
125	125	3/8	3/8	2/4	1	1	1/8		1/8	1	2386						
125	125	0	0	2/4	2	1	3/16		1/8	3/2	2387						
125	125	3/16	3/16	2/4	2	1	1/32		1/32	1	2388						
125	125	7/32	7/32	2/4	2	1	1/32		1/32	1	2389						
125	125	1/4	1/4	2/4	2	1	1/8		1/8	1	2390						
125	125	3/8	3/8	2/4	2	1	1/8		1/8	1	2391						
125	125	0	0	2/4	3	1	0					p					
125	125	0	0	2/4	3	1	1/8		1/8	1	2392						
125	125	1/8	1/8	2/4	3	1	1/8		1/8	1	2393						
125	125	1/4	1/4	2/4	3	1	1/8		1/8	1	2394						
125	125	3/8	3/8	2/4	3	1	1/8		1/8	1	2395						
125	125	0	0	2/4	4	1	0					p					
125	125	0	0	2/4	4	1	1/8		1/8	1	2396						
125	125	1/8	1/8	2/4	4	1	1/8		1/8	1	2397						
125	125	1/4	1/4	2/4	4	1	1/8		1/8	1	2398						
125	125	3/8	3/8	2/4	4	1	1/8		1/8	1	2399						
126	126	0	0	2/4	1	1	1/8		1/8	1	2400						
126	126	1/8	1/8	2/4	1	1	1/8		1/8	1	2401						
126	126	1/4	1/4	2/4	1	1	1/8		1/8	1	2402						
126	126	3/8	3/8	2/4	1	1	1/8		1/8	1	2403						
126	126	0	0	2/4	2	1	1/8		1/8	1	2404						
126	126	1/8	1/8	2/4	2	1	1/8		1/8	1	2405						
126	126	1/4	1/4	2/4	2	1	1/8		1/8	1	2406						
126	126	3/8	3/8	2/4	2	1	1/8		1/8	1	2407						
126	126	0	0	2/4	3	1	3/16		1/8	3/2	2408						
126	126	3/16	3/16	2/4	3	1	1/32		1/32	1	2409						
126	126	7/32	7/32	2/4	3	1	1/32		1/32	1	2410						
126	126	1/4	1/4	2/4	3	1	1/8		1/8	1	2411						
126	126	3/8	3/8	2/4	3	1	1/8		1/8	1	2412						
126	126	0	0	2/4	4	1	3/16		1/8	3/2	2413						
126	126	3/16	3/16	2/4	4	1	1/32		1/32	1	2414						
126	126	7/32	7/32	2/4	4	1	1/32		1/32	1	2415						
126	126	1/4	1/4	2/4	4	1	1/8		1/8	1	2416						
126	126	3/8	3/8	2/4	4	1	1/8		1/8	1	2417						
127	127	0	0	2/4	1	1	1/8		1/8	1	2418						
127	127	1/8	1/8	2/4	1	1	1/16		1/16	1	2419						
127	127	3/16	3/16	2/4	1	1	1/32		1/32	1	2420						
127	127	7/32	7/32	2/4	1	1	1/32		1/32	1	2421						
127	127	1/4	1/4	2/4	1	1	1/8		1/8	1	2422						
127	127	3/8	3/8	2/4	1	1	1/8		1/8	1	2423						
127	127	0	0	2/4	2	1	3/16		1/8	3/2	2424						
127	127	3/16	3/16	2/4	2	1	1/32		1/32	1	2425						
127	127	7/32	7/32	2/4	2	1	1/32		1/32	1	2426						
127	127	1/4	1/4	2/4	2	1	1/8		1/8	1	2427						
127	127	3/8	3/8	2/4	2	1	1/8		1/8	1	2428						
127	127	0	0	2/4	3	1	1/8		1/8	1	2429						
127	127	1/8	1/8	2/4	3	1	1/8		1/8	1	2430						
127	127	1/4	1/4	2/4	3	1	1/8		1/8	1	2431						
127	127	3/8	3/8	2/4	3	1	1/8		1/8	1	2432						
127	127	0	0	2/4	4	1	1/8		1/8	1	2433						
127	127	1/8	1/8	2/4	4	1	1/8		1/8	1	2434						
127	127	1/4	1/4	2/4	4	1	1/8		1/8	1	2435						
127	127	3/8	3/8	2/4	4	1	1/8		1/8	1	2436						
128	128	0	0	2/4	1	1	0							cresc.			
128	128	0	0	2/4	1	1	1/8		1/8	1	2437						
128	128	1/8	1/8	2/4	1	1	1/8		1/8	1	2438						
128	128	1/4	1/4	2/4	1	1	1/16		1/16	1	2439						
128	128	5/16	5/16	2/4	1	1	1/16		1/16	1	2440						
128	128	3/8	3/8	2/4	1	1	1/16		1/16	1	2441						
128	128	7/16	7/16	2/4	1	1	1/16		1/16	1	2442						
128	128	0	0	2/4	2	1	0							cresc.			
128	128	0	0	2/4	2	1	1/8		1/8	1	2443						
128	128	1/8	1/8	2/4	2	1	1/8		1/8	1	2444						
128	128	1/4	1/4	2/4	2	1	1/16		1/16	1	2445						
128	128	5/16	5/16	2/4	2	1	1/16		1/16	1	2446						
128	128	3/8	3/8	2/4	2	1	1/16		1/16	1	2447						
128	128	7/16	7/16	2/4	2	1	1/16		1/16	1	2448						
128	128	0	0	2/4	3	1	0							cresc.			
128	128	0	0	2/4	3	1	1/8		1/8	1	2449						
128	128	1/8	1/8	2/4	3	1	1/8		1/8	1	2450						
128	128	1/4	1/4	2/4	3	1	1/16		1/16	1	2451						
128	128	5/16	5/16	2/4	3	1	1/16		1/16	1	2452						
128	128	3/8	3/8	2/4	3	1	1/16		1/16	1	2453						
128	128	7/16	7/16	2/4	3	1	1/16		1/16	1	2454						
128	128	0	0	2/4	4	1	0							cresc.			
128	128	0	0	2/4	4	1	1/8		1/8	1	2455						
128	128	1/8	1/8	2/4	4	1	1/8		1/8	1	2456						
128	128	1/4	1/4	2/4	4	1	1/8		1/8	1	2457						
128	128	3/8	3/8	2/4	4	1	1/8		1/8	1	2458						
129	129	0	0	2/4	1	1	0					sf					
129	129	0	0	2/4	1	1	1/24		1/16	2/3	2459						
129	129	1/24	1/24	2/4	1	1	1/24		1/16	2/3	2460						
129	129	1/12	1/12	2/4	1	1	1/24		1/16	2/3	2461						
129	129	1/8	1/8	2/4	1	1	1/24		1/16	2/3	2462						
129	129	1/6	1/6	2/4	1	1	1/24		1/16	2/3	2463						
129	129	5/24	5/24	2/4	1	1	1/24		1/16	2/3	2464						
129	129	1/4	1/4	2/4	1	1	0					sf					
129	129	1/4	1/4	2/4	1	1	1/24		1/16	2/3	2465						
129	129	7/24	7/24	2/4	1	1	1/24		1/16	2/3	2466						
129	129	1/3	1/3	2/4	1	1	1/24		1/16	2/3	2467						
129	129	3/8	3/8	2/4	1	1	1/24		1/16	2/3	2468						
129	129	5/12	5/12	2/4	1	1	1/24		1/16	2/3	2469						
129	129	11/24	11/24	2/4	1	1	1/24		1/16	2/3	2470						
129	129	0	0	2/4	2	1	0					sf					
129	129	0	0	2/4	2	1	1/24		1/16	2/3	2471						
129	129	1/24	1/24	2/4	2	1	1/24		1/16	2/3	2472						
129	129	1/12	1/12	2/4	2	1	1/24		1/16	2/3	2473						
129	129	1/8	1/8	2/4	2	1	1/24		1/16	2/3	2474						
129	129	1/6	1/6	2/4	2	1	1/24		1/16	2/3	2475						
129	129	5/24	5/24	2/4	2	1	1/24		1/16	2/3	2476						
129	129	1/4	1/4	2/4	2	1	0					sf					
129	129	1/4	1/4	2/4	2	1	1/24		1/16	2/3	2477						
129	129	7/24	7/24	2/4	2	1	1/24		1/16	2/3	2478						
129	129	1/3	1/3	2/4	2	1	1/24		1/16	2/3	2479						
129	129	3/8	3/8	2/4	2	1	1/24		1/16	2/3	2480						
129	129	5/12	5/12	2/4	2	1	1/24		1/16	2/3	2481						
129	129	11/24	11/24	2/4	2	1	1/24		1/16	2/3	2482						
129	129	0	0	2/4	3	1	0					sf					
129	129	0	0	2/4	3	1	1/24		1/16	2/3	2483						
129	129	1/24	1/24	2/4	3	1	1/24		1/16	2/3	2484						
129	129	1/12	1/12	2/4	3	1	1/24		1/16	2/3	2485						
129	129	1/8	1/8	2/4	3	1	1/24		1/16	2/3	2486						
129	129	1/6	1/6	2/4	3	1	1/24		1/16	2/3	2487						
129	129	5/24	5/24	2/4	3	1	1/24		1/16	2/3	2488						
129	129	1/4	1/4	2/4	3	1	0					sf					
129	129	1/4	1/4	2/4	3	1	1/24		1/16	2/3	2489						
129	129	7/24	7/24	2/4	3	1	1/24		1/16	2/3	2490						
129	129	1/3	1/3	2/4	3	1	1/24		1/16	2/3	2491						
129	129	3/8	3/8	2/4	3	1	1/24		1/16	2/3	2492						
129	129	5/12	5/12	2/4	3	1	1/24		1/16	2/3	2493						
129	129	11/24	11/24	2/4	3	1	1/24		1/16	2/3	2494						
129	129	0	0	2/4	4	1	0					sf					
129	129	0	0	2/4	4	1	1/24		1/16	2/3	2495						
129	129	1/24	1/24	2/4	4	1	1/24		1/16	2/3	2496						
129	129	1/12	1/12	2/4	4	1	1/24		1/16	2/3	2497						
129	129	1/8	1/8	2/4	4	1	1/24		1/16	2/3	2498						
129	129	1/6	1/6	2/4	4	1	1/24		1/16	2/3	2499						
129	129	5/24	5/24	2/4	4	1	1/24		1/16	2/3	2500						
129	129	1/4	1/4	2/4	4	1	0					sf					
129	129	1/4	1/4	2/4	4	1	1/24		1/16	2/3	2501						
129	129	7/24	7/24	2/4	4	1	1/24		1/16	2/3	2502						
129	129	1/3	1/3	2/4	4	1	1/24		1/16	2/3	2503						
129	129	3/8	3/8	2/4	4	1	1/24		1/16	2/3	2504						
129	129	5/12	5/12	2/4	4	1	1/24		1/16	2/3	2505						
129	129	11/24	11/24	2/4	4	1	1/24		1/16	2/3	2506						
130	130	0	0	2/4	1	1	0					sf					
130	130	0	0	2/4	1	1	1/24		1/16	2/3	2507						
130	130	1/24	1/24	2/4	1	1	1/24		1/16	2/3	2508						
130	130	1/12	1/12	2/4	1	1	1/24		1/16	2/3	2509						
130	130	1/8	1/8	2/4	1	1	1/24		1/16	2/3	2510						
130	130	1/6	1/6	2/4	1	1	1/24		1/16	2/3	2511						
130	130	5/24	5/24	2/4	1	1	1/24		1/16	2/3	2512						
130	130	1/4	1/4	2/4	1	1	0					sf					
130	130	1/4	1/4	2/4	1	1	1/24		1/16	2/3	2513						
130	130	7/24	7/24	2/4	1	1	1/24		1/16	2/3	2514						
130	130	1/3	1/3	2/4	1	1	1/24		1/16	2/3	2515						
130	130	3/8	3/8	2/4	1	1	1/24		1/16	2/3	2516						
130	130	5/12	5/12	2/4	1	1	1/24		1/16	2/3	2517						
130	130	11/24	11/24	2/4	1	1	1/24		1/16	2/3	2518						
130	130	0	0	2/4	2	1	0					sf					
130	130	0	0	2/4	2	1	1/24		1/16	2/3	2519						
130	130	1/24	1/24	2/4	2	1	1/24		1/16	2/3	2520						
130	130	1/12	1/12	2/4	2	1	1/24		1/16	2/3	2521						
130	130	1/8	1/8	2/4	2	1	1/24		1/16	2/3	2522						
130	130	1/6	1/6	2/4	2	1	1/24		1/16	2/3	2523						
130	130	5/24	5/24	2/4	2	1	1/24		1/16	2/3	2524						
130	130	1/4	1/4	2/4	2	1	0					sf					
130	130	1/4	1/4	2/4	2	1	1/24		1/16	2/3	2525						
130	130	7/24	7/24	2/4	2	1	1/24		1/16	2/3	2526						
130	130	1/3	1/3	2/4	2	1	1/24		1/16	2/3	2527						
130	130	3/8	3/8	2/4	2	1	1/24		1/16	2/3	2528						
130	130	5/12	5/12	2/4	2	1	1/24		1/16	2/3	2529						
130	130	11/24	11/24	2/4	2	1	1/24		1/16	2/3	2530						
130	130	0	0	2/4	3	1	0					sf					
130	130	0	0	2/4	3	1	1/24		1/16	2/3	2531						
130	130	1/24	1/24	2/4	3	1	1/24		1/16	2/3	2532						
130	130	1/12	1/12	2/4	3	1	1/24		1/16	2/3	2533						
130	130	1/8	1/8	2/4	3	1	1/24		1/16	2/3	2534						
130	130	1/6	1/6	2/4	3	1	1/24		1/16	2/3	2535						
130	130	5/24	5/24	2/4	3	1	1/24		1/16	2/3	2536						
130	130	1/4	1/4	2/4	3	1	0					sf					
130	130	1/4	1/4	2/4	3	1	1/24		1/16	2/3	2537						
130	130	7/24	7/24	2/4	3	1	1/24		1/16	2/3	2538						
130	130	1/3	1/3	2/4	3	1	1/24		1/16	2/3	2539						
130	130	3/8	3/8	2/4	3	1	1/24		1/16	2/3	2540						
130	130	5/12	5/12	2/4	3	1	1/24		1/16	2/3	2541						
130	130	11/24	11/24	2/4	3	1	1/24		1/16	2/3	2542						
130	130	0	0	2/4	4	1	0					sf					
130	130	0	0	2/4	4	1	1/24		1/16	2/3	2543						
130	130	1/24	1/24	2/4	4	1	1/24		1/16	2/3	2544						
130	130	1/12	1/12	2/4	4	1	1/24		1/16	2/3	2545						
130	130	1/8	1/8	2/4	4	1	1/24		1/16	2/3	2546						
130	130	1/6	1/6	2/4	4	1	1/24		1/16	2/3	2547						
130	130	5/24	5/24	2/4	4	1	1/24		1/16	2/3	2548						
130	130	1/4	1/4	2/4	4	1	0					sf					
130	130	1/4	1/4	2/4	4	1	1/24		1/16	2/3	2549						
