mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text
1	1	0	0	3/4	1	1	1/4		1/4	1	0			
1	1	1/4	1/4	3/4	1	1	0					p		
1	1	1/4	1/4	3/4	1	1	1/8		1/8	1	1			
1	1	3/8	3/8	3/4	1	1	1/16		1/16	1	2			
1	1	7/16	7/16	3/4	1	1	1/16		1/16	1	3			
1	1	1/2	1/2	3/4	1	1	1/8		1/8	1	4		articStaccatoBelow	
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1	5		articStaccatoBelow	
1	1	0	0	3/4	2	1	1/4		1/4	1	6			
1	1	1/4	1/4	3/4	2	1	0					p		
1	1	1/4	1/4	3/4	2	1	1/8		1/8	1	7			
1	1	3/8	3/8	3/4	2	1	1/16		1/16	1	8			
1	1	7/16	7/16	3/4	2	1	1/16		1/16	1	9			
1	1	1/2	1/2	3/4	2	1	1/8		1/8	1	10		articStaccatoBelow	
1	1	5/8	5/8	3/4	2	1	1/8		1/8	1	11		articStaccatoBelow	
1	1	0	0	3/4	3	1	1/4		1/4	1	12			
1	1	1/4	1/4	3/4	3	1	0					p		
1	1	1/4	1/4	3/4	3	1	1/8		1/8	1	13			
1	1	3/8	3/8	3/4	3	1	1/16		1/16	1	14			
1	1	7/16	7/16	3/4	3	1	1/16		1/16	1	15			
1	1	1/2	1/2	3/4	3	1	1/8		1/8	1	16		articStaccatoBelow	
1	1	5/8	5/8	3/4	3	1	1/8		1/8	1	17		articStaccatoBelow	
1	1	0	0	3/4	4	1	1/4		1/4	1	18			
1	1	1/4	1/4	3/4	4	1	0					p		
1	1	1/4	1/4	3/4	4	1	1/8		1/8	1	19			
1	1	3/8	3/8	3/4	4	1	1/16		1/16	1	20			
1	1	7/16	7/16	3/4	4	1	1/16		1/16	1	21			
1	1	1/2	1/2	3/4	4	1	1/8		1/8	1	22		articStaccatoAbove	
1	1	5/8	5/8	3/4	4	1	1/8		1/8	1	23		articStaccatoAbove	
2	2	0	0	3/4	1	1	1/4		1/4	1	24			
2	2	0	0	3/4	2	1	1/4		1/4	1	25			
2	2	0	0	3/4	3	1	1/4		1/4	1	26			
2	2	0	0	3/4	4	1	1/4		1/4	1	27			
3	3	0	0	3/4	1	1	1/4		1/4	1	28			
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1	29			
3	3	3/8	3/8	3/4	1	1	1/16		1/16	1	30			
3	3	7/16	7/16	3/4	1	1	1/16		1/16	1	31			
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1	32		articStaccatoBelow	
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1	33		articStaccatoBelow	
3	3	0	0	3/4	2	1	1/4		1/4	1	34			
3	3	1/4	1/4	3/4	2	1	1/8		1/8	1	35			
3	3	3/8	3/8	3/4	2	1	1/16		1/16	1	36			
3	3	7/16	7/16	3/4	2	1	1/16		1/16	1	37			
3	3	1/2	1/2	3/4	2	1	1/8		1/8	1	38		articStaccatoBelow	
3	3	5/8	5/8	3/4	2	1	1/8		1/8	1	39		articStaccatoBelow	
3	3	0	0	3/4	3	1	1/4		1/4	1	40			
3	3	1/4	1/4	3/4	3	1	1/8		1/8	1	41			
3	3	3/8	3/8	3/4	3	1	1/16		1/16	1	42			
3	3	7/16	7/16	3/4	3	1	1/16		1/16	1	43			
3	3	1/2	1/2	3/4	3	1	1/8		1/8	1	44		articStaccatoBelow	
3	3	5/8	5/8	3/4	3	1	1/8		1/8	1	45		articStaccatoBelow	
3	3	0	0	3/4	4	1	1/4		1/4	1	46			
3	3	1/4	1/4	3/4	4	1	1/8		1/8	1	47			
3	3	3/8	3/8	3/4	4	1	1/16		1/16	1	48			
3	3	7/16	7/16	3/4	4	1	1/16		1/16	1	49			
3	3	1/2	1/2	3/4	4	1	1/8		1/8	1	50		articStaccatoAbove	
3	3	5/8	5/8	3/4	4	1	1/8		1/8	1	51		articStaccatoAbove	
4	4	0	0	3/4	1	1	1/4		1/4	1	52			
4	4	0	0	3/4	2	1	1/4		1/4	1	53			
4	4	0	0	3/4	3	1	1/4		1/4	1	54			
4	4	0	0	3/4	4	1	1/4		1/4	1	55			
5	5	0	0	3/4	1	1	1/4		1/4	1	56			
5	5	1/4	1/4	3/4	1	1	1/8		1/8	1	57			
5	5	3/8	3/8	3/4	1	1	1/16		1/16	1	58			
5	5	7/16	7/16	3/4	1	1	1/16		1/16	1	59			
5	5	1/2	1/2	3/4	1	1	1/8		1/8	1	60		articStaccatoAbove	
5	5	5/8	5/8	3/4	1	1	1/8		1/8	1	61		articStaccatoAbove	
5	5	0	0	3/4	2	1	3/4		1/2	3/2	62			
5	5	0	0	3/4	3	1	3/4		1/2	3/2	63			
5	5	0	0	3/4	4	1	3/4		1/2	3/2	64			
6	6	0	0	3/4	1	1	1/2		1/2	1	65			
6	6	1/2	1/2	3/4	1	1	1/4		1/4	1	66			
6	6	0	0	3/4	2	1	1/2		1/2	1	67			
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1	68			
6	6	0	0	3/4	3	1	3/4		1/2	3/2	69			
6	6	0	0	3/4	4	1	3/4		1/2	3/2	70			
7	7	0	0	3/4	1	1	1/2		1/2	1	71			
7	7	1/2	1/2	3/4	1	1	3/16		1/8	3/2	72			
7	7	11/16	11/16	3/4	1	1	1/16		1/16	1	73			
7	7	0	0	3/4	2	1	1/2		1/2	1	74			
7	7	1/2	1/2	3/4	2	1	3/16		1/8	3/2	75			
7	7	11/16	11/16	3/4	2	1	1/16		1/16	1	76			
7	7	0	0	3/4	3	1	1/4		1/4	1	77			
7	7	1/4	1/4	3/4	3	1	1/4		1/4	1	78			
7	7	1/2	1/2	3/4	3	1	1/4		1/4	1	79			
7	7	0	0	3/4	4	1	1/4		1/4	1	80			
7	7	1/4	1/4	3/4	4	1	1/4		1/4	1	81			
7	7	1/2	1/2	3/4	4	1	1/4		1/4	1	82			
8	8	0	0	3/4	1	1	1/2		1/2	1	83			
8	8	1/2	1/2	3/4	1	1	1/4		1/4	1	84			
8	8	0	0	3/4	2	1	1/2		1/2	1	85			
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1	86			
8	8	0	0	3/4	3	1	1/8		1/8	1	87			
8	8	1/8	1/8	3/4	3	1	1/8		1/8	1	88			
8	8	1/4	1/4	3/4	3	1	1/8		1/8	1	89			
8	8	3/8	3/8	3/4	3	1	1/8		1/8	1	90			
8	8	1/2	1/2	3/4	3	1	1/4		1/4	1	91			
8	8	0	0	3/4	4	1	3/4		1/2	3/2	92			
9	9	0	0	3/4	1	1	1/4		1/4	1	93			
9	9	1/4	1/4	3/4	1	1	0					f		
9	9	1/4	1/4	3/4	1	1	1/8		1/8	1	94			
9	9	3/8	3/8	3/4	1	1	1/16		1/16	1	95			
9	9	7/16	7/16	3/4	1	1	1/16		1/16	1	96			
9	9	1/2	1/2	3/4	1	1	1/8		1/8	1	97		articStaccatoBelow	
9	9	5/8	5/8	3/4	1	1	1/8		1/8	1	98		articStaccatoBelow	
9	9	0	0	3/4	2	1	1/4		1/4	1	99			
9	9	1/4	1/4	3/4	2	1	0					f		
9	9	1/4	1/4	3/4	2	1	1/8		1/8	1	100			
9	9	3/8	3/8	3/4	2	1	1/16		1/16	1	101			
9	9	7/16	7/16	3/4	2	1	1/16		1/16	1	102			
9	9	1/2	1/2	3/4	2	1	1/8		1/8	1	103		articStaccatoBelow	
9	9	5/8	5/8	3/4	2	1	1/8		1/8	1	104		articStaccatoBelow	
9	9	0	0	3/4	3	1	1/4		1/4	1	105			
9	9	1/4	1/4	3/4	3	1	0					f		
9	9	1/4	1/4	3/4	3	1	1/8		1/8	1	106			
9	9	3/8	3/8	3/4	3	1	1/16		1/16	1	107			
9	9	7/16	7/16	3/4	3	1	1/16		1/16	1	108			
9	9	1/2	1/2	3/4	3	1	1/8		1/8	1	109		articStaccatoBelow	
9	9	5/8	5/8	3/4	3	1	1/8		1/8	1	110		articStaccatoBelow	
9	9	0	0	3/4	4	1	1/4		1/4	1	111			
9	9	1/4	1/4	3/4	4	1	0					f		
9	9	1/4	1/4	3/4	4	1	1/8		1/8	1	112			
9	9	3/8	3/8	3/4	4	1	1/16		1/16	1	113			
9	9	7/16	7/16	3/4	4	1	1/16		1/16	1	114			
9	9	1/2	1/2	3/4	4	1	1/8		1/8	1	115		articStaccatoAbove	
9	9	5/8	5/8	3/4	4	1	1/8		1/8	1	116		articStaccatoAbove	
10	10	0	0	3/4	1	1	1/4		1/4	1	117			
10	10	0	0	3/4	2	1	1/4		1/4	1	118			
10	10	0	0	3/4	3	1	1/4		1/4	1	119			
10	10	0	0	3/4	4	1	1/4		1/4	1	120			
11	11	0	0	3/4	1	1	1/4		1/4	1	121			
11	11	1/4	1/4	3/4	1	1	1/8		1/8	1	122			
11	11	3/8	3/8	3/4	1	1	1/16		1/16	1	123			
11	11	7/16	7/16	3/4	1	1	1/16		1/16	1	124			
11	11	1/2	1/2	3/4	1	1	1/8		1/8	1	125		articStaccatoBelow	
11	11	5/8	5/8	3/4	1	1	1/8		1/8	1	126		articStaccatoBelow	
11	11	0	0	3/4	2	1	1/4		1/4	1	127			
11	11	1/4	1/4	3/4	2	1	1/8		1/8	1	128			
11	11	3/8	3/8	3/4	2	1	1/16		1/16	1	129			
11	11	7/16	7/16	3/4	2	1	1/16		1/16	1	130			
11	11	1/2	1/2	3/4	2	1	1/8		1/8	1	131		articStaccatoBelow	
11	11	5/8	5/8	3/4	2	1	1/8		1/8	1	132		articStaccatoBelow	
11	11	0	0	3/4	3	1	1/4		1/4	1	133			
11	11	1/4	1/4	3/4	3	1	1/8		1/8	1	134			
11	11	3/8	3/8	3/4	3	1	1/16		1/16	1	135			
11	11	7/16	7/16	3/4	3	1	1/16		1/16	1	136			
11	11	1/2	1/2	3/4	3	1	1/8		1/8	1	137		articStaccatoBelow	
11	11	5/8	5/8	3/4	3	1	1/8		1/8	1	138		articStaccatoBelow	
11	11	0	0	3/4	4	1	1/4		1/4	1	139			
11	11	1/4	1/4	3/4	4	1	1/8		1/8	1	140			
11	11	3/8	3/8	3/4	4	1	1/16		1/16	1	141			
11	11	7/16	7/16	3/4	4	1	1/16		1/16	1	142			
11	11	1/2	1/2	3/4	4	1	1/8		1/8	1	143		articStaccatoAbove	
11	11	5/8	5/8	3/4	4	1	1/8		1/8	1	144		articStaccatoAbove	
12	12	0	0	3/4	1	1	1/4		1/4	1	145			
12	12	0	0	3/4	2	1	1/4		1/4	1	146			
12	12	0	0	3/4	3	1	1/4		1/4	1	147			
12	12	0	0	3/4	4	1	1/4		1/4	1	148			
13	13	0	0	3/4	1	1	1/4		1/4	1	149			
13	13	1/4	1/4	3/4	1	1	0					p		
13	13	1/4	1/4	3/4	1	1	1/8		1/8	1	150			
13	13	3/8	3/8	3/4	1	1	1/16		1/16	1	151			
13	13	7/16	7/16	3/4	1	1	1/16		1/16	1	152			
13	13	1/2	1/2	3/4	1	1	1/8		1/8	1	153		articStaccatoAbove	
13	13	5/8	5/8	3/4	1	1	1/8		1/8	1	154		articStaccatoAbove	
14	14	0	0	3/4	1	1	0					p		
14	14	0	0	3/4	1	1	1/2		1/2	1	155			
14	14	1/2	1/2	3/4	1	1	1/4		1/4	1	156			
14	14	0	0	3/4	2	1	0					p		
14	14	0	0	3/4	2	1	3/4		1/2	3/2	157			
14	14	0	0	3/4	3	1	0					p		
14	14	0	0	3/4	3	1	3/4		1/2	3/2	158			
14	14	0	0	3/4	4	1	3/4		1/2	3/2	159			
15	15	0	0	3/4	1	1	1/4		1/4	1	160			
15	15	1/4	1/4	3/4	1	1	1/8		1/8	1	161			
15	15	3/8	3/8	3/4	1	1	1/16		1/16	1	162			
15	15	7/16	7/16	3/4	1	1	1/16		1/16	1	163			
15	15	1/2	1/2	3/4	1	1	1/8		1/8	1	164		articStaccatoAbove	
15	15	5/8	5/8	3/4	1	1	1/8		1/8	1	165		articStaccatoAbove	
16	16	0	0	3/4	1	1	1/2		1/2	1	166			
16	16	1/2	1/2	3/4	1	1	1/4		1/4	1	167			
16	16	0	0	3/4	2	1	3/4		1/2	3/2	168			
16	16	0	0	3/4	3	1	3/4		1/2	3/2	169			
16	16	0	0	3/4	4	1	3/4		1/2	3/2	170			
17	17	0	0	3/4	1	1	1/4		1/4	1	171			
17	17	1/4	1/4	3/4	1	1	1/8		1/8	1	172			
17	17	3/8	3/8	3/4	1	1	1/16		1/16	1	173			
17	17	7/16	7/16	3/4	1	1	1/16		1/16	1	174			
17	17	1/2	1/2	3/4	1	1	1/8		1/8	1	175		articStaccatoAbove	
17	17	5/8	5/8	3/4	1	1	1/8		1/8	1	176		articStaccatoAbove	
18	18	0	0	3/4	1	1	0							
18	18	0	0	3/4	1	1	3/8		1/4	3/2	177			
18	18	3/8	3/8	3/4	1	1	1/8		1/8	1	178			
18	18	1/2	1/2	3/4	1	1	1/8		1/8	1	179			
18	18	5/8	5/8	3/4	1	1	1/8		1/8	1	180			
18	18	0	0	3/4	2	1	0							
18	18	0	0	3/4	2	1	3/8		1/4	3/2	181			
18	18	3/8	3/8	3/4	2	1	1/8		1/8	1	182			
18	18	1/2	1/2	3/4	2	1	1/8		1/8	1	183			
18	18	5/8	5/8	3/4	2	1	1/8		1/8	1	184			
18	18	0	0	3/4	3	1	0							
18	18	0	0	3/4	3	1	3/8		1/4	3/2	185			
18	18	3/8	3/8	3/4	3	1	1/8		1/8	1	186			
18	18	1/2	1/2	3/4	3	1	1/8		1/8	1	187			
18	18	5/8	5/8	3/4	3	1	1/8		1/8	1	188			
18	18	0	0	3/4	4	1	0							
18	18	0	0	3/4	4	1	3/8		1/4	3/2	189			
18	18	3/8	3/8	3/4	4	1	1/8		1/8	1	190		articTenutoAbove	
18	18	1/2	1/2	3/4	4	1	1/8		1/8	1	191		articTenutoAbove	
18	18	5/8	5/8	3/4	4	1	1/8		1/8	1	192		articTenutoAbove	
19	19	0	0	3/4	1	1	1/2		1/2	1	193			
19	19	1/2	1/2	3/4	1	1	0	grace16	1/16	1	194			
19	19	1/2	1/2	3/4	1	1	0	grace16	1/16	1	195			
19	19	1/2	1/2	3/4	1	1	0	grace16	1/16	1	196			
19	19	1/2	1/2	3/4	1	1	0	grace16	1/16	1	197			
19	19	1/2	1/2	3/4	1	1	1/8		1/8	1	198			
19	19	5/8	5/8	3/4	1	1	1/8		1/8	1	199			
19	19	0	0	3/4	2	1	1/2		1/2	1	200			
19	19	1/2	1/2	3/4	2	1	0	grace16	1/16	1	201			
19	19	1/2	1/2	3/4	2	1	0	grace16	1/16	1	202			
19	19	1/2	1/2	3/4	2	1	0	grace16	1/16	1	203			
19	19	1/2	1/2	3/4	2	1	0	grace16	1/16	1	204			
19	19	1/2	1/2	3/4	2	1	1/8		1/8	1	205			
19	19	5/8	5/8	3/4	2	1	1/8		1/8	1	206			
19	19	0	0	3/4	3	1	1/2		1/2	1	207			
19	19	1/2	1/2	3/4	3	1	1/4		1/4	1	208			
19	19	0	0	3/4	4	1	1/2		1/2	1	209			
19	19	1/2	1/2	3/4	4	1	1/4		1/4	1	210			
20	20	0	0	3/4	1	1	0					p		
20	20	0	0	3/4	1	1	1/4		1/4	1	211			
20	20	0	0	3/4	2	1	0					p		
20	20	0	0	3/4	2	1	1/4		1/4	1	212			
20	20	0	0	3/4	3	1	0					p		
20	20	0	0	3/4	3	1	1/4		1/4	1	213			
20	20	0	0	3/4	4	1	0					p		
20	20	0	0	3/4	4	1	1/4		1/4	1	214			
21	21	0	0	3/4	2	1	1/4		1/4	1	215			
21	21	1/4	1/4	3/4	2	1	1/8		1/8	1	216			
21	21	3/8	3/8	3/4	2	1	1/16		1/16	1	217			
21	21	7/16	7/16	3/4	2	1	1/16		1/16	1	218			
21	21	1/2	1/2	3/4	2	1	1/8		1/8	1	219		articStaccatoBelow	
21	21	5/8	5/8	3/4	2	1	1/8		1/8	1	220		articStaccatoBelow	
22	22	0	0	3/4	1	1	0					sf		
22	22	0	0	3/4	1	1	3/8		1/4	3/2	221			
22	22	3/8	3/8	3/4	1	1	1/16		1/16	1	222			
22	22	7/16	7/16	3/4	1	1	1/16		1/16	1	223			
22	22	1/2	1/2	3/4	1	1	1/8		1/8	1	224		articStaccatoAbove	
22	22	5/8	5/8	3/4	1	1	1/8		1/8	1	225		articStaccatoAbove	
22	22	0	0	3/4	2	1	0					sf		
22	22	0	0	3/4	2	1	1/2		1/2	1	226			
22	22	1/2	1/2	3/4	2	1	1/4		1/4	1	227			
22	22	0	0	3/4	3	1	0					sf		
22	22	0	0	3/4	3	1	3/4		1/2	3/2	228			
22	22	0	0	3/4	4	1	0					sf		
22	22	0	0	3/4	4	1	3/4		1/2	3/2	229			
23	23	0	0	3/4	2	1	1/4		1/4	1	230			
23	23	1/4	1/4	3/4	2	1	1/8		1/8	1	231			
23	23	3/8	3/8	3/4	2	1	1/16		1/16	1	232			
23	23	7/16	7/16	3/4	2	1	1/16		1/16	1	233			
23	23	1/2	1/2	3/4	2	1	1/8		1/8	1	234		articStaccatoBelow	
23	23	5/8	5/8	3/4	2	1	1/8		1/8	1	235		articStaccatoBelow	
24	24	0	0	3/4	1	1	3/8		1/4	3/2	236			
24	24	3/8	3/8	3/4	1	1	0					sf		
24	24	3/8	3/8	3/4	1	1	1/16		1/16	1	237			
24	24	7/16	7/16	3/4	1	1	1/16		1/16	1	238			
24	24	1/2	1/2	3/4	1	1	1/8		1/8	1	239		articStaccatoAbove	
24	24	5/8	5/8	3/4	1	1	1/8		1/8	1	240		articStaccatoAbove	
24	24	0	0	3/4	2	1	1/2		1/2	1	241			
24	24	1/2	1/2	3/4	2	1	0					sf		
24	24	1/2	1/2	3/4	2	1	1/4		1/4	1	242			
24	24	0	0	3/4	3	1	0					sf		
24	24	0	0	3/4	3	1	3/4		1/2	3/2	243			
24	24	0	0	3/4	4	1	0					sf		
24	24	0	0	3/4	4	1	3/4		1/2	3/2	244			
25	25	0	0	3/4	2	1	1/4		1/4	1	245			
25	25	1/4	1/4	3/4	2	1	1/8		1/8	1	246			
25	25	3/8	3/8	3/4	2	1	1/16		1/16	1	247			
25	25	7/16	7/16	3/4	2	1	1/16		1/16	1	248			
25	25	1/2	1/2	3/4	2	1	1/8		1/8	1	249		articStaccatoBelow	
25	25	5/8	5/8	3/4	2	1	1/8		1/8	1	250		articStaccatoBelow	
26	26	0	0	3/4	1	1	3/8		1/4	3/2	251			
26	26	3/8	3/8	3/4	1	1	0					sf		
26	26	3/8	3/8	3/4	1	1	1/16		1/16	1	252			
26	26	7/16	7/16	3/4	1	1	1/16		1/16	1	253			
26	26	1/2	1/2	3/4	1	1	1/8		1/8	1	254		articStaccatoAbove	
26	26	5/8	5/8	3/4	1	1	1/8		1/8	1	255		articStaccatoAbove	
26	26	0	0	3/4	2	1	1/2		1/2	1	256			
26	26	1/2	1/2	3/4	2	1	0					sf		
26	26	1/2	1/2	3/4	2	1	1/4		1/4	1	257		articStaccatoBelow	
26	26	0	0	3/4	3	1	1/2		1/2	1	258			
26	26	1/2	1/2	3/4	3	1	0					sf		
26	26	1/2	1/2	3/4	3	1	1/4		1/4	1	259			
26	26	0	0	3/4	4	1	1/2		1/2	1	260			
26	26	1/2	1/2	3/4	4	1	0					sf		
26	26	1/2	1/2	3/4	4	1	1/4		1/4	1	261			
27	27	0	0	3/4	1	1	0					sf		
27	27	0	0	3/4	1	1	3/8		1/4	3/2	262			
27	27	3/8	3/8	3/4	1	1	1/16		1/16	1	263			
27	27	7/16	7/16	3/4	1	1	1/16		1/16	1	264			
27	27	1/2	1/2	3/4	1	1	1/8		1/8	1	265		articStaccatoAbove	
27	27	5/8	5/8	3/4	1	1	1/8		1/8	1	266		articStaccatoAbove	
27	27	0	0	3/4	2	1	0					sf		
27	27	0	0	3/4	2	1	1/2		1/2	1	267			
27	27	1/2	1/2	3/4	2	1	1/4		1/4	1	268		articStaccatoAbove	
27	27	0	0	3/4	3	1	0					sf		
27	27	0	0	3/4	3	1	1/2		1/2	1	269			
27	27	1/2	1/2	3/4	3	1	1/4		1/4	1	270		articStaccatoAbove	
27	27	0	0	3/4	4	1	0					sf		
27	27	0	0	3/4	4	1	1/2		1/2	1	271			
27	27	1/2	1/2	3/4	4	1	1/4		1/4	1	272			
28	28	0	0	3/4	1	1	0					f		
28	28	0	0	3/4	1	1	1/4		1/4	1	273		articStaccatoAbove	
28	28	1/4	1/4	3/4	1	1	1/4		1/4	1	274		articStaccatoAbove	
28	28	1/2	1/2	3/4	1	1	1/4		1/4	1	275		articStaccatoAbove	
28	28	0	0	3/4	2	1	0					f		
28	28	0	0	3/4	2	1	1/8		1/8	1	276			
28	28	1/8	1/8	3/4	2	1	1/8		1/8	1	277			
28	28	1/4	1/4	3/4	2	1	1/8		1/8	1	278			
28	28	3/8	3/8	3/4	2	1	1/8		1/8	1	279			
28	28	1/2	1/2	3/4	2	1	1/8		1/8	1	280			
28	28	5/8	5/8	3/4	2	1	1/8		1/8	1	281			
28	28	0	0	3/4	3	1	0					f		
28	28	0	0	3/4	3	1	1/4		1/4	1	282		articStaccatoBelow	
28	28	1/4	1/4	3/4	3	1	1/4		1/4	1	283		articStaccatoBelow	
28	28	1/2	1/2	3/4	3	1	1/4		1/4	1	284		articStaccatoBelow	
28	28	0	0	3/4	4	1	0					f		
28	28	0	0	3/4	4	1	1/4		1/4	1	285		articStaccatoBelow	
28	28	1/4	1/4	3/4	4	1	1/4		1/4	1	286		articStaccatoBelow	
28	28	1/2	1/2	3/4	4	1	1/4		1/4	1	287		articStaccatoBelow	
29	29	0	0	3/4	1	1	1/4		1/4	1	288			
29	29	0	0	3/4	2	1	1/8		1/8	1	289			
29	29	1/8	1/8	3/4	2	1	1/8		1/8	1	290			
29	29	1/4	1/4	3/4	2	1	1/8		1/8	1	291			
29	29	3/8	3/8	3/4	2	1	1/8		1/8	1	292			
29	29	1/2	1/2	3/4	2	1	1/8		1/8	1	293			
29	29	5/8	5/8	3/4	2	1	1/8		1/8	1	294			
29	29	0	0	3/4	3	1	1/8		1/8	1	295			
29	29	1/8	1/8	3/4	3	1	0					p		
29	29	1/8	1/8	3/4	3	1	0					p		
29	29	1/8	1/8	3/4	3	1	1/8		1/8	1	296			
29	29	1/4	1/4	3/4	3	1	1/8		1/8	1	297			
29	29	3/8	3/8	3/4	3	1	1/8		1/8	1	298			
29	29	1/2	1/2	3/4	3	1	1/8		1/8	1	299			
29	29	5/8	5/8	3/4	3	1	1/8		1/8	1	300			
29	29	0	0	3/4	4	1	1/4		1/4	1	301			
30	30	3/8	3/8	3/4	1	1	0					p		
30	30	3/8	3/8	3/4	1	1	1/8		1/8	1	302			
30	30	1/2	1/2	3/4	1	1	0	grace16after	1/16	1	303			
30	30	1/2	1/2	3/4	1	1	0	grace16after	1/16	1	304			
30	30	1/2	1/2	3/4	1	1	1/4		1/4	1	305		ornamentTrill	
30	30	0	0	3/4	2	1	3/4		1/2	3/2	306			
30	30	0	0	3/4	3	1	1/8		1/8	1	307			
30	30	1/8	1/8	3/4	3	1	1/8		1/8	1	308			
30	30	1/4	1/4	3/4	3	1	1/8		1/8	1	309			
30	30	3/8	3/8	3/4	3	1	1/8		1/8	1	310			
30	30	1/2	1/2	3/4	3	1	1/8		1/8	1	311			
30	30	5/8	5/8	3/4	3	1	1/8		1/8	1	312			
30	30	0	0	3/4	4	1	3/8		1/4	3/2	313			
30	30	3/8	3/8	3/4	4	1	0					p		
30	30	3/8	3/8	3/4	4	1	1/16		1/16	1	314			
30	30	7/16	7/16	3/4	4	1	1/16		1/16	1	315			
30	30	1/2	1/2	3/4	4	1	1/8		1/8	1	316		articStaccatoBelow	
30	30	5/8	5/8	3/4	4	1	1/8		1/8	1	317		articStaccatoBelow	
31	31	0	0	3/4	1	1	3/8		1/4	3/2	318			
31	31	3/8	3/8	3/4	1	1	1/8		1/8	1	319			
31	31	1/2	1/2	3/4	1	1	1/8		1/8	1	320		articStaccatoBelow	
31	31	5/8	5/8	3/4	1	1	1/8		1/8	1	321		articStaccatoBelow	
31	31	0	0	3/4	2	1	3/4		1/2	3/2	322			
31	31	0	0	3/4	3	1	3/4		1/2	3/2	323			
31	31	0	0	3/4	4	1	1/4		1/4	1	324			
32	32	0	0	3/4	1	1	1/4		1/4	1	325			
32	32	3/8	3/8	3/4	1	1	1/8		1/8	1	326			
32	32	1/2	1/2	3/4	1	1	0	grace16after	1/16	1	327			
32	32	1/2	1/2	3/4	1	1	0	grace16after	1/16	1	328			
32	32	1/2	1/2	3/4	1	1	1/4		1/4	1	329		ornamentTrill	
32	32	0	0	3/4	2	1	3/4		1/2	3/2	330			
32	32	0	0	3/4	3	1	3/4		1/2	3/2	331			
32	32	0	0	3/4	4	1	3/8		1/4	3/2	332			
32	32	3/8	3/8	3/4	4	1	1/16		1/16	1	333			
32	32	7/16	7/16	3/4	4	1	1/16		1/16	1	334			
32	32	1/2	1/2	3/4	4	1	1/8		1/8	1	335		articStaccatoBelow	
32	32	5/8	5/8	3/4	4	1	1/8		1/8	1	336		articStaccatoBelow	
33	33	0	0	3/4	1	1	3/8		1/4	3/2	337			
33	33	3/8	3/8	3/4	1	1	1/8		1/8	1	338			
33	33	1/2	1/2	3/4	1	1	1/8		1/8	1	339		articStaccatoBelow	
33	33	5/8	5/8	3/4	1	1	1/8		1/8	1	340		articStaccatoBelow	
33	33	0	0	3/4	2	1	3/4		1/2	3/2	341			
33	33	0	0	3/4	3	1	3/4		1/2	3/2	342			
33	33	0	0	3/4	4	1	1/4		1/4	1	343			
34	34	0	0	3/4	1	1	1/4		1/4	1	344			
34	34	3/8	3/8	3/4	1	1	1/8		1/8	1	345			
34	34	1/2	1/2	3/4	1	1	0	grace16after	1/16	1	346			
34	34	1/2	1/2	3/4	1	1	0	grace16after	1/16	1	347			
34	34	1/2	1/2	3/4	1	1	1/4		1/4	1	348		ornamentTrill	
34	34	0	0	3/4	2	1	3/4		1/2	3/2	349			
34	34	0	0	3/4	3	1	3/4		1/2	3/2	350			
34	34	0	0	3/4	4	1	3/8		1/4	3/2	351			
34	34	3/8	3/8	3/4	4	1	1/16		1/16	1	352			
34	34	7/16	7/16	3/4	4	1	1/16		1/16	1	353			
34	34	1/2	1/2	3/4	4	1	1/8		1/8	1	354		articStaccatoBelow	
34	34	5/8	5/8	3/4	4	1	1/8		1/8	1	355		articStaccatoBelow	
35	35	0	0	3/4	1	1	3/8		1/4	3/2	356			
35	35	3/8	3/8	3/4	1	1	1/8		1/8	1	357			
35	35	1/2	1/2	3/4	1	1	1/8		1/8	1	358		articStaccatoAbove	
35	35	5/8	5/8	3/4	1	1	1/8		1/8	1	359		articStaccatoAbove	
35	35	0	0	3/4	2	1	3/4		1/2	3/2	360			
35	35	0	0	3/4	3	1	3/4		1/2	3/2	361			
35	35	0	0	3/4	4	1	1/4		1/4	1	362			
36	36	0	0	3/4	1	1	1/8		1/8	1	363			
36	36	1/8	1/8	3/4	1	1	1/8		1/8	1	364			
36	36	1/4	1/4	3/4	1	1	1/8		1/8	1	365		articStaccatoAbove	
36	36	3/8	3/8	3/4	1	1	1/8		1/8	1	366		articStaccatoAbove	
36	36	1/2	1/2	3/4	1	1	1/8		1/8	1	367		articStaccatoAbove	
36	36	5/8	5/8	3/4	1	1	1/8		1/8	1	368		articStaccatoAbove	
36	36	0	0	3/4	2	1	3/4		1/2	3/2	369			
36	36	0	0	3/4	3	1	3/4		1/2	3/2	370			
36	36	0	0	3/4	4	1	3/8		1/4	3/2	371			
36	36	3/8	3/8	3/4	4	1	1/16		1/16	1	372			
36	36	7/16	7/16	3/4	4	1	1/16		1/16	1	373			
36	36	1/2	1/2	3/4	4	1	1/8		1/8	1	374		articStaccatoBelow	
36	36	5/8	5/8	3/4	4	1	1/8		1/8	1	375		articStaccatoBelow	
