mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	3	1	1/4		1/4	1	1	-1	53	12
1	1	0	0	3/4	4	1	1/4		1/4	1	1	-1	53	18
1	1	0	0	3/4	1	1	1/4		1/4	1	1	-1	65	0
1	1	0	0	3/4	2	1	1/4		1/4	1	1	-1	65	6
1	1	1/4	1/4	3/4	3	1	1/8		1/8	1	-1	-1	53	13
1	1	1/4	1/4	3/4	4	1	1/8		1/8	1	-1	-1	53	19
1	1	1/4	1/4	3/4	1	1	1/8		1/8	1	-1	-1	65	1
1	1	1/4	1/4	3/4	2	1	1/8		1/8	1	-1	-1	65	7
1	1	3/8	3/8	3/4	3	1	1/16		1/16	1		1	55	14
1	1	3/8	3/8	3/4	4	1	1/16		1/16	1		1	55	20
1	1	3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	2
1	1	3/8	3/8	3/4	2	1	1/16		1/16	1		1	67	8
1	1	7/16	7/16	3/4	3	1	1/16		1/16	1		-1	53	15
1	1	7/16	7/16	3/4	4	1	1/16		1/16	1		-1	53	21
1	1	7/16	7/16	3/4	1	1	1/16		1/16	1		-1	65	3
1	1	7/16	7/16	3/4	2	1	1/16		1/16	1		-1	65	9
1	1	1/2	1/2	3/4	3	1	1/8		1/8	1		4	52	16
1	1	1/2	1/2	3/4	4	1	1/8		1/8	1		4	52	22
1	1	1/2	1/2	3/4	1	1	1/8		1/8	1		4	64	4
1	1	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64	10
1	1	5/8	5/8	3/4	3	1	1/8		1/8	1		-1	53	17
1	1	5/8	5/8	3/4	4	1	1/8		1/8	1		-1	53	23
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65	5
1	1	5/8	5/8	3/4	2	1	1/8		1/8	1		-1	65	11
2	2	0	0	3/4	3	1	1/4		1/4	1		0	48	26
2	2	0	0	3/4	4	1	1/4		1/4	1		0	48	27
2	2	0	0	3/4	1	1	1/4		1/4	1		0	60	24
2	2	0	0	3/4	2	1	1/4		1/4	1		0	60	25
3	3	0	0	3/4	3	1	1/4		1/4	1	1	-1	53	40
3	3	0	0	3/4	4	1	1/4		1/4	1	1	-1	53	46
3	3	0	0	3/4	1	1	1/4		1/4	1	1	-1	65	28
3	3	0	0	3/4	2	1	1/4		1/4	1	1	-1	65	34
3	3	1/4	1/4	3/4	3	1	1/8		1/8	1	-1	-1	53	41
3	3	1/4	1/4	3/4	4	1	1/8		1/8	1	-1	-1	53	47
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1	-1	-1	65	29
3	3	1/4	1/4	3/4	2	1	1/8		1/8	1	-1	-1	65	35
3	3	3/8	3/8	3/4	3	1	1/16		1/16	1		1	55	42
3	3	3/8	3/8	3/4	4	1	1/16		1/16	1		1	55	48
3	3	3/8	3/8	3/4	1	1	1/16		1/16	1		1	67	30
3	3	3/8	3/8	3/4	2	1	1/16		1/16	1		1	67	36
3	3	7/16	7/16	3/4	3	1	1/16		1/16	1		-1	53	43
3	3	7/16	7/16	3/4	4	1	1/16		1/16	1		-1	53	49
3	3	7/16	7/16	3/4	1	1	1/16		1/16	1		-1	65	31
3	3	7/16	7/16	3/4	2	1	1/16		1/16	1		-1	65	37
3	3	1/2	1/2	3/4	3	1	1/8		1/8	1		4	52	44
3	3	1/2	1/2	3/4	4	1	1/8		1/8	1		4	52	50
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1		4	64	32
3	3	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64	38
3	3	5/8	5/8	3/4	3	1	1/8		1/8	1		-1	53	45
3	3	5/8	5/8	3/4	4	1	1/8		1/8	1		-1	53	51
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65	33
3	3	5/8	5/8	3/4	2	1	1/8		1/8	1		-1	65	39
4	4	0	0	3/4	3	1	1/4		1/4	1		2	50	54
