mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/8	2	1	1/8		1/8	1		1	67	0
1	1	1/8	1/8	3/8	2	1	1/8		1/8	1		1	67	1
1	1	1/4	1/4	3/8	2	1	1/8		1/8	1		1	67	2
2	2	0	0	3/8	2	1	1/8		1/8	1		0	72	3
2	2	1/8	1/8	3/8	2	1	1/8		1/8	1		0	72	4
2	2	1/4	1/4	3/8	2	1	1/16		1/16	1		0	72	5
2	2	5/16	5/16	3/8	2	1	1/16		1/16	1		5	71	6
3	3	0	0	3/8	2	1	1/16		1/16	1		3	69	7
3	3	1/16	1/16	3/8	2	1	1/16		1/16	1		1	67	8
3	3	1/8	1/8	3/8	2	1	1/16		1/16	1		-1	65	9
3	3	3/16	3/16	3/8	2	1	1/16		1/16	1		4	64	10
3	3	1/4	1/4	3/8	2	1	1/16		1/16	1		2	62	11
3	3	5/16	5/16	3/8	2	1	1/16		1/16	1		0	60	12
4	4	0	0	3/8	2	1	1/8		1/8	1		5	59	13
4	4	1/8	1/8	3/8	2	1	1/8		1/8	1		2	62	14
4	4	1/4	1/4	3/8	2	1	1/8		1/8	1		1	67	15
5	5	0	0	3/8	2	1	1/8		1/8	1		4	64	16
5	5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	60	17
5	5	1/4	1/4	3/8	2	1	1/8		1/8	1	1	3	69	18
6	6	0	0	3/8	3	1	1/8		1/8	1		2	62	22
6	6	0	0	3/8	2	1	1/8		1/8	1	-1	3	69	19
6	6	1/8	1/8	3/8	3	1	1/8		1/8	1		2	62	23
6	6	1/8	1/8	3/8	2	1	1/8		1/8	1		6	66	20
6	6	1/4	1/4	3/8	3	1	1/8		1/8	1		2	62	24
6	6	1/4	1/4	3/8	2	1	1/8		1/8	1	1	0	72	21
7	7	0	0	3/8	3	1	1/8		1/8	1		1	67	31
7	7	0	0	3/8	2	1	1/16		1/16	1	-1	0	72	25
7	7	1/16	1/16	3/8	2	1	1/16		1/16	1		5	71	26
7	7	1/8	1/8	3/8	3	1	1/8		1/8	1		1	67	32
7	7	1/8	1/8	3/8	2	1	1/16		1/16	1		3	69	27
7	7	3/16	3/16	3/8	2	1	1/16		1/16	1		1	67	28
7	7	1/4	1/4	3/8	3	1	1/16		1/16	1		1	67	33
7	7	1/4	1/4	3/8	2	1	1/16		1/16	1		3	69	29
7	7	5/16	5/16	3/8	3	1	1/16		1/16	1		-1	65	34
7	7	5/16	5/16	3/8	2	1	1/16		1/16	1		5	71	30
8	8	0	0	3/8	3	1	1/16		1/16	1		4	64	41
8	8	0	0	3/8	2	1	1/16		1/16	1		0	72	35
8	8	1/16	1/16	3/8	3	1	1/16		1/16	1		2	62	42
8	8	1/16	1/16	3/8	2	1	1/16		1/16	1		2	74	36
8	8	1/8	1/8	3/8	3	1	1/16		1/16	1		0	60	43
8	8	1/8	1/8	3/8	2	1	1/16		1/16	1		4	76	37
8	8	3/16	3/16	3/8	3	1	1/16		1/16	1		5	59	44
8	8	3/16	3/16	3/8	2	1	1/16		1/16	1		0	72	38
8	8	1/4	1/4	3/8	3	1	1/16		1/16	1		3	57	45
8	8	1/4	1/4	3/8	2	1	1/16		1/16	1		4	76	39
8	8	5/16	5/16	3/8	3	1	1/16		1/16	1		1	55	46
8	8	5/16	5/16	3/8	2	1	1/16		1/16	1		0	72	40
9	9	0	0	3/8	3	1	1/8		1/8	1		6	54	53
9	9	0	0	3/8	2	1	1/16		1/16	1		3	69	47
9	9	1/16	1/16	3/8	2	1	1/16		1/16	1		4	76	48
9	9	1/8	1/8	3/8	3	1	1/8		1/8	1		3	57	54
9	9	1/8	1/8	3/8	2	1	1/16		1/16	1		2	74	49
9	9	3/16	3/16	3/8	2	1	1/16		1/16	1		0	72	50
9	9	1/4	1/4	3/8	3	1	1/8		1/8	1	1	2	62	55
9	9	1/4	1/4	3/8	2	1	1/16		1/16	1		5	71	51
9	9	5/16	5/16	3/8	2	1	1/16		1/16	1		3	69	52
10	10	0	0	3/8	3	1	1/8		1/8	1	-1	2	62	65
10	10	0	0	3/8	2	1	1/16		1/16	1		5	71	59
10	10	0	0	3/8	1	1	1/8		1/8	1		1	79	56
10	10	1/16	1/16	3/8	2	1	1/16		1/16	1		0	72	60
10	10	1/8	1/8	3/8	3	1	1/8		1/8	1		5	59	66
10	10	1/8	1/8	3/8	2	1	1/16		1/16	1		2	74	61
10	10	1/8	1/8	3/8	1	1	1/8		1/8	1		1	79	57
10	10	3/16	3/16	3/8	2	1	1/16		1/16	1		5	71	62
10	10	1/4	1/4	3/8	3	1	1/8		1/8	1	1	-1	65	67
10	10	1/4	1/4	3/8	2	1	1/16		1/16	1		2	74	63
10	10	1/4	1/4	3/8	1	1	1/8		1/8	1		1	79	58
10	10	5/16	5/16	3/8	2	1	1/16		1/16	1		5	71	64
11	11	0	0	3/8	3	1	1/16		1/16	1	-1	-1	65	78
11	11	0	0	3/8	2	1	1/16		1/16	1		1	67	72
11	11	0	0	3/8	1	1	1/8		1/8	1		0	84	68
11	11	1/16	1/16	3/8	3	1	1/16		1/16	1		4	64	79
11	11	1/16	1/16	3/8	2	1	1/16		1/16	1		1	67	73
11	11	1/8	1/8	3/8	3	1	1/16		1/16	1		2	62	80
11	11	1/8	1/8	3/8	2	1	1/16		1/16	1		-1	65	74
11	11	1/8	1/8	3/8	1	1	1/8		1/8	1		0	84	69
